Manufacturer,Model,Class
Mitsubishi,Lancer Evolution,D
BMW,LZ4 LCI E89,D
Chevrolet,Camaro LT,D
Nissan,Leaf Nismo RC,D
Nissan,370Z Nismo,D
Volkswagen,XL Sport Concept,D
DS Automobiles,DS E-Tense,D
Dodge,Challenger 392 Hemi Scat Pack,D
Porsche,718 Cayman,D
Lotus,Elise Sprint 220,D
Ford,Shelby GT350R,D
Porsche,911 Targa 4S,D
Ginetta,G60,D
Honda,Civic Type-R,D
TVR,Griffith,D
Mazda,Furai,D
Dodge,Challenger SRT8,C
BMW,3.0 CSL Hommage,C
Chevrolet,Camaro ZL1 50th Edition,C
Lotus,Evora Sport 410,C
Mercedes-Benz,AMG GT S,C
BMW,M4 GTS,C
Rezvani,Beast X,C
Dodge,Viper ACR,C
Ford,Shelby GR-1,C
Pininfarina,H2 Speed,C
Artega,Scalo Superelletra,C
Acura,2017 NSX,C
Maserati,Alfieri,C
Vencer,Sarthe,C
Arrinera,Hussarya 33,C
