Type,Contents,Date
Battle Crate,Credits x20,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,Credits x50,2020-03-30
Battle Crate,Smoke Grenade - Yellow Triangle,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,Arctic .50 - Red Triangle,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,Credits x50,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,Spray - Wushu 2,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,Credits x50,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,Spray - Wushu 2,2020-03-30
Battle Crate,XPR-50 Red Triangle,2020-03-30
Battle Crate,Spray - Wushu 2,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,MSMC - Red Triangle,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,Terrance Brooks,2020-03-30
Battle Crate,Frag Grenade - Yellow Triangle,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,Spray - Wushu 5,2020-03-30
Battle Crate,Spray - Wushu 3,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,Credits x50,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,Flashbang Grenade - Yellow Triangle,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,Credits x20,2020-03-30
Battle Crate,Weapon XP Card,2020-03-30
Battle Crate,Credits x20,2020-03-30
Daily Crate,Credits x20,2020-03-30
Fearless Soldier Crate,Smoke Grenade - Neon Tiger,2020-03-30
Fearless Soldier Crate,Smoke Grenade - Neon Tiger,2020-03-30
Fearless Soldier Crate,Flashbang Grenade - Neon Tiger,2020-03-30
Fearless Soldier Crate,Frag Grenade - Neon Tiger,2020-03-30
Fearless Soldier Crate,Flashbang Grenade - Neon Tiger,2020-03-30
Fearless Soldier Crate,Concussion Grenade - Neon Tiger,2020-03-30
Fearless Soldier Crate,Concussion Grenade - Neon Tiger,2020-03-30
Fearless Soldier Crate,Frag Grenade - Neon Tiger,2020-03-30
Fearless Soldier Crate,Credits x20,2020-03-30
Fearless Soldier Crate,Frag Grenade - Neon Tiger,2020-03-30
Clan Crate,Credits x50,2020-03-30
Locus Weapon Crate,Credits x80,2020-03-30
Season 3 Daily Crate,FHJ-18 - St. Patrick's Day,2020-03-30
Season 3 Daily Crate,Credits x30,2020-03-30
Season 3 Daily Crate,BK57 - St. Patrick's Day,2020-03-30
Season 3 Daily Crate,Credits x30,2020-03-30
Season 3 Daily Crate,BK57 - St. Patrick's Day,2020-03-30
Season 3 Daily Crate,MW11 - St. Patrick's Day,2020-03-30
Season 3 Daily Crate,Credits x30,2020-03-30
Season 3 Daily Crate,MW11 - St. Patrick's Day,2020-03-30
Season 3 Daily Crate,BK57 - St. Patrick's Day,2020-03-30
Season 3 Daily Crate,Credits x30,2020-03-30
Season 3 Daily Crate,Credits x30,2020-03-30
Season 3 Daily Crate,LK24 - St. Patrick's Day,2020-03-30
Season 3 Daily Crate,LK24 - St. Patrick's Day,2020-03-30
Season 3 Daily Crate,BK57 - St. Patrick's Day,2020-03-30
Season 3 Daily Crate,FHJ-18 - St. Patrick's Day,2020-03-30
Season 3 Daily Crate,LK24 - St. Patrick's Day,2020-03-30
Celebration Crate,Smoke Grenade - Blue Wave,2020-03-30
Celebration Crate,Medic - Fashion Purple,2020-03-30
Celebration Crate,Medic - Fashion Purple,2020-03-30
Celebration Crate,Clown - Fashion Purple,2020-03-30
Celebration Crate,Defender - Fashion Purple,2020-03-30
Celebration Crate,Ninja - Fashion Purple,2020-03-30
Celebration Crate,Flashbang Grenade - Tropical,2020-03-30
Celebration Crate,Frag Grenade - Tropical,2020-03-30
Season 3 Golden Crate,BK57 - Hearts,2020-03-30
