Day,Reward
1,500x Cash
2,2x First Aid Kits
3,3x Epic Energy
4,5x Diamonds
5,5x Diamonds
6,3x Epic Epic Energy
7,Dominion Vault Key
8,Iron Vault Key
9,Iron Vault Key
10,Iron Vault Key
11,Iron Vault Key
12,3x Epic Energy
13,1000x Cash
14,Urban Warrior
15,Iron Vault Key
16,Iron Vault Key
17,1000x Cash
18,5x Diamonds
19,Iron Vault Key
20,Iron Vault Key
21,Iron Vault Key
22,3x Epic Energy
23,1000x Cash
24,Iron Vault Key
25,Titanium Vault Key
26,Iron Vault Key
27,1000x Cash
28,1000x Cash
29,1000x Cash
30,Aristocrat Dominator
