Level,Boss HP,Boss Attack,Boss Defence,Follower HP,Follower Attack,Follower Defence
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,62,52,52,47,39,39
6,70,60,60,53,45,45
7,78,68,68,59,51,51
8,86,76,76,65,57,57
9,94,84,84,71,63,63
10,102,92,92,77,69,69
11,108,96,96,81,72,72
12,114,100,100,86,75,75
13,120,104,104,90,78,78
14,126,107,107,95,80,80
15,132,111,111,99,83,83
16,138,115,115,104,86,86
17,144,119,119,108,89,89
18,150,123,123,113,92,92
19,156,127,127,117,95,95
20,162,131,131,122,98,98
21,168,134,134,126,101,101
22,174,138,138,131,104,104
23,180,142,142,135,107,107
24,186,146,146,140,110,110
25,192,150,150,144,113,113
26,198,154,154,149,116,116
27,204,157,157,153,118,118
