Rank From,Rank To,Medal,Reward 1,Reward 2,Reward 3,Reward 4
1,1,Black,1x Chop Shop Owner S,15x Lightning Enhance Boost Gear,7x Dominion Vault Keys,80x Diamonds
2,2,Gold,1x Chop Shop Owner S,15x Lightning Enhance Boost Gear,5x Dominion Vault Keys,60x Diamonds
3,3,Silver,1x Chop Shop Owner S,12x Lightning Enhance Boost Gear,3x Dominion Vault Keys,50x Diamonds
4,10,Bronze,1x Chop Shop Owner S,9x Lightning Enhance Boost Gear,2x Dominion Vault Keys,30x Diamonds
11,25,Ribbon A,1x Hacker Gear,9x Lightning Enhance Boost Gear,1x Dominion Vault Key,10x Diamonds
26,50,Ribbon B,1x Motorcross Warrior S,6x Lightning Enhance Boost Gear,10x Forged Pasports,500000x Cash
51,75,Ribbon C,1x Motorcross Warrior,3x Lightning Enhance Boost Gear,5x Forged Passports,300000x Cash
76,100,Ribbon D,1x Motorcross Warrior,1x Urban Warrior,3x Forged Passports,200000x Cash
101,250,Ribbon E,1x Motorcross Warrior,1x Urban Warrior,100000x Cash,
251,500,Ribbon F,2x Urban Warrior S,3x Golden Gambler,75000x Cash,
501,1000,Ribbon G,2x Urban Warrior,2x Golden Gambler,60000x Cash,
1001,1500,Ribbon H,1x Urban Warrior,1x Golden Gambler,45000x Cash,
1501,2000,Ribbon I,2x Golden Gambler S,30000x Cash,,
2001,3000,Ribbon J,4x Golden Gambler,25000x Cash,,
3001,4000,Ribbon K,3x Golden Gambler,20000x Cash,,
4001,5000,Ribbon L,2x Golden Gambler,15000x Cash,,
5001,6500,Ribbon M,3x Cartel Threads S,10000x Cash,,
6501,8000,Ribbon N,2x Cartel Threads,5000x Cash,,
