Rank,Syndicate,Wins,Losses,Points,,,,,
1,Sofa Kings,28,3,7179146,,,,,
2,Hot Mess Mafia,19,3,3381595,,,,,
3,DB Minion,19,6,2250165,,,,,
4,Empire State,23,5,1815411,,,,,
5,Hookers And Blow,22,19,1759687,,,,,
6,Sjefs,24,1,1758915,,,,,
7,Original Gangsters,20,1,1616535,,,,,
8,Ferda Swerve,24,5,1589994,,,,,
9,Los Antichristos,23,7,1575599,,,,,
10,MURDER INC,21,9,1561245,,,,,
11,Kingslayer,21,2,1479394,,,,,
12,Elite Mafia,15,9,921596,,,,,
13,Whiskey Lovers,19,5,865919,,,,,
14,The Immortal Mob,16,14,865000,,,,,
15,The Brotherhood,20,3,856603,,,,,
16,The Dark Lords,16,12,843730,,,,,
17,Roche Family,26,2,815951,,,,,
18,Owl Mafia,16,12,797798,,,,,
19,InhumanArcaneMessiah,13,15,783780,,,,,
20,Justice League Usa,16,1,782748,,,,,
21,Shining Force,29,1,769004,,,,,
22,Drunk And Famous,14,15,767235,,,,,
23,The Demented,23,3,762444,,,,,
24,gang killers,18,15,750473,,,,,
25,Syndicate Of War,19,7,736884,,,,,
26,The Wolfpack,30,5,735675,,,,,
27,T3RROR SQUAD,23,2,721112,,,,,
28,The Crew,12,10,641215,,,,,
29,Death Squad,20,7,588599,,,,,
30,Hacktivists,22,7,526946,,,,,
31,Chaotic Regiment,22,3,487759,,,,,
32,SB1,32,7,465889,,,,,
33,The Captains,12,10,452107,,,,,
34,UrbanLegends,15,13,442413,,,,,
35,Wildcats,12,9,441243,,,,,
36,Academy Of Villains,8,6,420086,,,,,
37,MONROE MILITIA,23,7,417071,,,,,
38,Cupola,21,1,413894,,,,,
39,Exquisite,19,8,408601,,,,,
40,Bohicas Clan,19,9,406723,,,,,
41,Dutch Army,19,8,406390,,,,,
42,Almost Famous,20,9,405939,,,,,
43,Want It,13,13,399880,,,,,
44,The Saracens,22,11,397217,,,,,
45,Criminal Inc,17,1,395710,,,,,
46,Cosa Nuestra,21,10,392387,,,,,
47,Epic Criminals,15,10,389128,,,,,
48,SONSOFDESTRUCTION,21,14,389060,,,,,
49,Amish Mafia,13,14,383217,,,,,
50,La Main Noire,17,9,381558,,,,,
51,HOOKS N CROOKS,8,4,378076,,,,,
52,Silver Wolfs,17,15,368957,,,,,
53,Blood N Blood Out,16,5,364733,,,,,
54,TAZZMANIAN DEVILS,16,9,360234,,,,,
55,420 Kings,15,11,333178,,,,,
56,United Brotherhood,16,12,326164,,,,,
57,RICH GANGSTERS,13,17,321818,,,,,
58,Guardians Of Deceit,15,14,320115,,,,,
59,House Of Killers,24,6,311265,,,,,
60,Knopsmic,15,20,308352,,,,,
61,Death Angels,23,14,303605,,,,,
62,Deutsche Mafia,19,8,303017,,,,,
63,Steel Rain,20,6,301529,,,,,
64,DedseC,32,5,299319,,,,,
65,Speedsters,12,2,295183,,,,,
66,Sjefs Prospects,17,8,293277,,,,,
67,All We Do Iz Win Duh,21,4,292809,,,,,
68,Ndrangheta,15,14,291525,,,,,
69,Sword Of The Witcher,24,9,290525,,,,,
70,Hounds of War,17,4,285111,,,,,
71,Escaflowne,36,3,285052,,,,,
72,The Hellhounds,22,0,281759,,,,,
73,Consania,16,6,280196,,,,,
