Rank,Syndicate,Wins,Losses,Points
1,Sofa Kings,31,1,8454355
2,Exotic,27,4,8345805
3,Quebec Fighter,19,3,2758409
4,Hookers And Blow,18,8,2346995
5,Hot Mess Mafia,19,5,2208478
6,Sjefs,20,7,1457098
7,The Crew,23,8,1434547
8,Syndicate Of War,21,5,1393470
9,Drunk And Famous,21,13,1386784
10,Empire State,23,9,1378082
11,Original Gangsters,17,0,1370373
12,Whiskey Lovers,22,4,643420
13,Elite Mafia,18,10,578427
14,DB Minion,21,7,559017
15,Kingslayer,28,2,517379
16,gang killers,26,16,510763
17,The Demented,19,6,510288
18,The Immortal Mob,21,4,504076
19,InhumanArcaneMessiah,19,8,490633
20,Owl Mafia,25,4,487214
21,Want It,23,19,478681
22,Los Antichristos,21,9,472371
23,UrbanLegends,23,11,471218
24,Hacktivists,22,16,467416
25,The Wolfpack,33,0,462946
