Rank,Syndicate,Wins,Losses,Points
1,Sofa Kings,9,1,1869492
2,Hot Mess Mafia,7,2,855694
3,Hookers And Blow,6,5,855474
4,DB Minion,8,2,733613
5,Ferda Swerve,6,2,626635
6,Budweiser,10,2,596115
7,Sjerfs,10,1,568929
8,MURDER INC,5,6,518404
9,Unknowns,9,2,510159
10,Los Antichristos,8,2,498335
11,German Crime,10,2,440628
12,The Dark Lords,8,1,412796
13,Original Gangsters,5,3,371255
14,Speedsters,7,1,336543
15,Empire State,7,3,332161
16,Roche Family,10,2,326073
17,Kingslayer,6,4,305976
18,InhumanArcaneMessiah,4,5,305236
19,Owl Mafia,7,3,297811
20,Exquisite,7,1,291383
21,Whiskey Lovers,4,4,286108
22,Death Squad,5,4,275610
23,Drunk And Famous,6,5,275031
24,The Crew,5,4,272216
25,Justice League Usa,7,2,266412
26,T3RROR SQUAD,8,1,252373
27,Hacktivists,9,1,242758
28,Ndrangheta,7,4,228141
29,The Expendable S,11,4,219490
30,gang killers,5,6,211393
31,La Main Noire,5,6,205998
32,SONSOFDESTRUCTION,9,4,195557
33,The Immortal Mob,5,4,194192
34,Usual Suspects,6,3,189308
35,420 Kings,6,5,187677
36,Silver Wolfs,6,6,187402
37,The Brotherhood,5,5,184930
38,Elite Mafia,3,6,178553
39,COCAINE GANG,8,3,175091
40,The Captains,6,2,172314
41,KILLER SHADOWS,12,2,164662
42,MONROE MILITIA,7,2,164426
43,SB1,7,8,163160
44,Academy Of Villains,4,6,162627
45,High Killers,10,1,161600
46,TAZZMANIAN DEVILS,6,3,158110
47,United Brotherhood,7,4,156626
48,Cosa Nuestra,7,4,156260
49,716 Outsiders,12,0,153017
50,Escaflowne,12,4,144802
51,Guardians Of Deceit,6,4,143554
52,The Demented,6,4,142562
53,420 Syndicate,6,0,142134
54,THUBDER DOWN UNDER,10,0,140618
55,The Unforgotten,10,3,136452
56,The Hellhounds,8,0,136089
57,Syndicate Of War,5,2,135731
58,Knopsmic,8,5,132832
59,Sydney Wombats,6,3,123041
60,The Final Unfallen,6,1,122384
61,CangLong,6,8,122005
62,Chaotic Regiment,5,1,117537
63,The Saracens,5,7,117496
64,Steel Rain,6,2,114016
65,House Of Killers,6,5,111845
66,Criminal Masterminds,8,7,111744
67,420 Nation,12,0,111359
68,Epic Criminals,6,4,110999
69,K9 Killers,8,5,109905
70,The Dark Knights,10,0,109359
71,Dream Kings,7,5,108802
72,Occultus,11,2,107757
73,Crime Elements,5,5,107487
74,Darq Mafia,10,0,105579
75,The Criminal Minds,5,6,104947
76,Just Girls,9,6,103531
77,The Allstar Crew,9,3,103456
78,All We Do Iz Win Duh,11,3,102058
79,Bohicas Clan,4,4,101115
80,DedseC,6,6,100277
81,Lawless,6,4,98163
82,Omedo Crew,4,2,97994
83,D34D 3ND,10,0,97125
84,Everyone Welcome,7,3,96989
85,Diamond,4,7,96753
86,Shining Force,8,3,95010
87,Friend Unite,6,2,93818
88,Ronin Kings,6,4,93387
89,Act Of Revenge,7,1,92840
90,LegendZ,7,4,92827
91,The Flock,6,3,92623
92,UrbanLegends,3,8,92348
93,Outlaw Immortalz,11,4,91808
94,Povo Punters,15,4,91563
95,Lykkes Diciple,7,2,88768
96,The Canadian Army,8,4,88752
97,Hounds of War,5,3,88193
98,Wolffighters,6,5,87072
99,Noche Oscura,8,1,86784
100,Blood N Blood Out,9,3,86739
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,,,,
118,,,,
119,,,,
120,,,,
121,,,,
122,,,,
123,,,,
124,,,,
125,,,,
126,DGK ALL DAY,7,4,70958
127,Crimson Squad,3,5,70523
128,Loco Killerz,6,4,70172
129,NOTORIOUS THUGS,6,3,70166
130,Grey Co Mercs,6,6,69340
131,The Finishers,6,5,69028
132,Bound In Blood,11,4,68888
133,Underworld,7,0,68750
134,Piratez,9,3,68405
135,Masters Of Disaster,9,4,68244
136,FR Criminals,8,1,67536
137,Italian Knights,9,0,67505
138,Wildcats,5,5,66817
139,Vikingness,7,5,66676
140,DarkArchons,5,5,66121
141,EXCALIBUR MAFIA,6,0,65905
142,WAR,13,0,65066
143,Deutsche Mafia,8,2,64996
144,The Diamond Hustlers,11,0,64386
145,Devils,2,0,63923
146,Mac Town Goons,8,2,63166
147,Death Angels,4,6,62497
148,DEATH DEALERS,6,4,62487
149,ItchyTriggerFingerz,5,2,62442
150,Pappas Syndicate,5,1,62024
151,Shadows,7,3,61875
152,Ragged Teir,2,9,61446
153,LaFamilia,5,1,61406
154,MYTH,5,8,61385
155,Ghost,9,3,61281
156,Forceful Gorillaz,11,1,61089
157,Elite Shooters,10,2,60891
158,Dem Water Bottles,7,1,60881
159,Cannaboss,6,4,60558
160,Triad Of Terror,10,1,60179
161,The Raging Bong,8,1,59819
162,Cobra elite,7,4,59796
163,The A City Thugs,10,3,59378
164,The Terminators,5,4,58965
165,Those Gangstazzz,5,5,58698
166,Fireskulls,6,1,58659
167,Sjefs Prospects,4,4,58547
168,The VIKINGS,6,1,58540
169,Dutch Force,6,7,58212
170,Exotic,2,4,57974
171,Top City Mob,5,2,57896
172,German Clan,5,1,57754
173,The Bro Show,4,4,57203
174,Smokin Aces,5,8,57010
175,Rehab,4,3,56535
176,Dutch Army,2,6,56444
177,Quebec Inc,8,1,56153
178,Russians,5,3,55673
179,Drunk And Fabulous,6,2,55583
180,Undertakers,13,0,55406
181,Dutch Pro,4,4,55194
182,ARCHANGELS,4,5,54995
183,stsivitkcaH,6,2,54875
184,Bloody Fangs,4,2,54319
185,The Kings Finest,7,2,54194
186,Savagez,10,6,53970
187,Black DragonS,9,2,53816
188,Syndicate Of America,6,4,53216
189,Amish Mafia,4,7,53132
190,Habitual Offenders,4,6,53108
191,France Power CWO,6,3,52731
192,The Pirates,5,1,52335
193,Shadow Hunter,6,7,52090
194,MAFIA BOYZ,8,2,51930
195,Qwerty,4,7,51671
196,Zombie Society,9,8,51491
197,SYNERGY,9,1,51546
198,Children Of Capone,9,3,51348
199,Hot Skullz,6,4,51329
200,Murder Incorporated,8,3,51169
201,District One,3,6,51107
202,Undead Wolves,4,3,51063
203,Dynasti Of Titans,8,1,50913
204,Legacies,8,2,50904
205,7 Deadly Sins,5,1,50818
206,420 Smokers,8,1,50770
207,Mugga Masons,10,3,50636
208,White Walker,8,4,50290
209,Dragonfire,6,5,50086
210,FIRST 48,9,1,50050
211,Scholars Squad,7,5,49902
212,Rangers,10,4,49819
213,Athiest Legacy,7,2,49738
214,Soul Society,5,5,49525
215,SHIELD,10,2,49522
216,Blood Lust,5,3,49489
217,Wiseguys,12,3,49172
218,Swedish Wolfpack,8,2,49124
219,Infidel Nation,10,6,49027
220,Dutch040,6,2,48983
221,Phoenix Corporation,5,3,48931
222,THC,4,9,48902
223,USMC,8,1,48899
224,Almost Famous,7,3,48849
225,APEX,7,4,48341
226,Reapers Of Souls,10,4,47983
227,The Starks,8,4,47944
228,Silent Saints,9,1,47750
229,THE G M PRO CARTEL,10,2,47643
230,Donkey Punchers,7,0,47519
231,Rage,8,2,47420
232,Immortal Mafia,8,1,47218
233,Street Mafia,7,4,46842
234,Yakuza,7,7,46814
235,Criminal Inc,1,3,46761
236,Kash Money Killaz,7,1,46594
237,Death Criminals,6,5,46319
238,Revolver,6,3,46223
239,Smooth Criminals,7,3,46103
240,Killswitch,10,0,45921
241,Disciples of Moo,8,2,45653
242,NL Kings,8,5,45473
243,xXAoNXx,7,1,45317
244,TheFallen,8,2,44791
245,The Art Of War,9,2,44595
246,Pain 4 Pleasure,10,3,44462
