Rank,Syndicate,Wins,Losses,Score
1,Hookers And Blow,24,7,7804227
2,Sofa Kings,20,6,4728097
3,DB Minion,24,11,3652335
4,Kingslayer,28,4,3261869
5,Hot Mess Mafia,16,5,3242486
6,Original Gangsters,18,2,3230480
7,Ferda Swerve,18,6,3229794
8,Empire State,25,7,3200890
9,Sjefs,25,8,3186608
10,InhumanArcaneMessiah,21,8,3173792
11,Exotic,24,7,3155289
12,The Brotherhood,21,3,2834536
13,The Dark Lords,14,6,2212890
14,Los Antichristos,12,10,1408436
15,Roche Family,20,9,1390380
16,Justice League Usa,20,0,1383306
17,Owl Mafia,18,15,1279899
18,The Immortal Mob,15,14,1187579
19,The Demented,19,11,1181073
20,Academy Of Villains,17,9,1148854
21,Hacktivists,19,12,1137530
22,Elite Mafia,12,10,1122956
23,La Main Noire,21,13,1112367
24,SONSOFDESTRUCTION,33,5,1099970
25,The Captains,12,15,1092657
26,Death Squad,14,12,1081925
27,T3RROR SQUAD,24,10,864122
28,Drunk And Famous,19,6,707010
29,Unknowns,6,21,664425
30,TAZZMANIAN DEVILS,16,6,658337
31,SB1,20,14,629364
32,Shining Force,11,14,597216
33,MONROE MILITIA,18,8,588800
34,Cosa Nuestra,20,13,558407
35,Guardians Of Deceit,16,16,555492
36,Epic Criminals,11,14,551867
37,gang killers,10,17,545050
38,Want It,13,11,543845
39,German Crime,21,4,530682
40,Death Angels,17,13,527763
41,Deutsche Mafia,16,6,524244
42,Speedsters,11,4,519501
43,Whiskey Lovers,14,5,516592
44,Syndicate Of War,12,8,513436
45,Silver Wolfs,18,7,510545
46,Ghost,35,7,510348
47,Steel Rain,19,8,509619
48,Undead Wolves,18,4,509147
49,420 Nation,27,1,505866
50,THUBDER DOWN UNDER,18,5,498156
51,A50rted Ch405,24,4,493596
52,Omedo Crew,14,4,486094
53,420 Kings,11,12,482407
54,Ronin Kings,16,6,482397
55,Sjefs Prospects,16,9,479741
56,Blood N Blood Out,19,12,448112
57,The Dark Knights,16,10,420205
58,UrbanLegends,12,16,418942
59,USMC,20,4,402881
60,The Hellhounds,19,0,391952
61,Crime Elements,17,3,390537
62,D34D 3ND,18,5,388822
63,The Union,20,10,385336
64,K9 Killers,22,10,385119
65,The Criminal Minds,18,7,382893
66,Dream Kings,15,8,382872
67,KILLER SHADOWS,36,14,378752
68,716 Outsiders,17,10,376711
69,Criminal Masterminds,18,18,373264
70,Ndrangheta,14,12,365406
71,The Saracens,21,13,350666
72,Povo Punters,45,7,332259
73,ATL,21,13,318733
74,CangLong,18,19,316020
75,Escaflowne,17,15,314029
76,Hounds of War,10,10,313566
77,United Brotherhood,13,14,293005
78,Sydney Wombats,10,13,289132
79,COCAINE GANG,16,5,288521
80,Horsemen,23,8,287243
81,Noche Oscura,19,7,271404
82,All We Do Iz Win Duh,20,10,269174
83,Usual Suspects,11,5,267196
84,Dragons Killer,16,5,262525
85,The Allstar Crew,17,14,259670
86,RICH GANGSTERS,15,15,258300
87,EXCALIBUR MAFIA,22,3,253432
88,The Canadian Army,11,16,250911
89,The Unforgotten,14,6,249966
90,Just Girls,27,10,245875
91,The Crew,10,5,242425
92,Dutch Army,11,16,241507
93,The Dutch Chapter,19,11,240769
94,Underworld,18,3,239514
95,Pure Darknes,14,8,239293
96,Knopsmic,13,14,239195
97,The Flock,8,5,238058
98,MAFIA BOYZ,16,12,237880
99,All In The Family,9,21,236932
100,Budweiser,13,12,234754
101,Scarlet Vipers,15,11,231134
102,Act Of Revenge,12,15,227044
103,Friend Unite,16,1,226257
104,Loco Killerz,17,6,223346
105,WAR,18,6,223338
106,High Killers,13,3,223267
107,NL Kings,17,12,218759
108,The Diamond Hustlers,20,5,218525
109,The Finishers,18,13,214465
110,Wiseguys,20,10,213824
111,Wildcats,12,13,213016
112,The Hitmen,26,7,210581
113,Outlaw Immortalz,18,17,206684
114,Wolffighters,22,8,205794
115,ARCHANGELS,10,13,201429
116,Boats And Hoes,17,5,200250
117,Sinister Syndicate,21,5,199597
118,Bohicas Clan,7,14,198251
119,ESND,19,6,197276
120,Undaunted,17,17,196130
121,LaFamilia,13,3,196034
122,Vikingness,17,6,195321
123,Ragged Teir,11,17,193588
124,All Men Must Die,19,3,192613
125,MYTH,15,11,190149
126,,,,
127,,,,
128,,,,
129,,,,
130,,,,
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,,,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,,,,
150,,,,
151,,,,
152,,,,
153,,,,
154,,,,
155,,,,
156,,,,
157,,,,
158,,,,
159,,,,
160,,,,
161,,,,
162,,,,
163,,,,
164,,,,
165,,,,
166,,,,
167,,,,
168,,,,
169,,,,
170,,,,
171,,,,
172,,,,
173,,,,
174,,,,
175,,,,
176,,,,
177,,,,
178,,,,
179,,,,
180,,,,
181,,,,
182,,,,
183,,,,
184,,,,
185,,,,
186,,,,
187,,,,
188,,,,
189,,,,
190,,,,
191,,,,
192,,,,
193,,,,
194,,,,
195,,,,
196,,,,
197,,,,
198,,,,
199,,,,
200,,,,
201,,,,
202,,,,
203,,,,
204,,,,
205,,,,
206,,,,
207,,,,
208,,,,
209,,,,
210,,,,
211,,,,
212,,,,
213,,,,
214,,,,
215,,,,
216,,,,
217,,,,
218,,,,
219,,,,
220,,,,
221,,,,
222,,,,
223,,,,
224,,,,
225,,,,
226,,,,
227,,,,
228,,,,
229,,,,
230,,,,
231,,,,
232,,,,
233,,,,
234,,,,
235,,,,
236,,,,
237,,,,
238,,,,
239,,,,
240,,,,
241,,,,
242,,,,
243,,,,
244,,,,
245,,,,
246,,,,
247,,,,
248,,,,
249,,,,
250,,,,
