Rank,Syndicate,Wins,Losses,Score
1,Hot Mess Mafia,7,2,1765809
2,Sofa Kings,7,2,1512534
3,Hookers And Blow,1,1,1360303
4,Los Antichristos,7,4,830715
5,Kingslayer,9,0,780506
6,Ferda Swerve,5,3,615676
7,The Crew,7,3,567497
8,SONSOFDESTRUCTION,11,1,530210
9,Shining Force,6,6,483202
10,Original Gangsters,5,2,478971
11,Exotic,8,4,447346
12,Empire State,8,3,435949
13,InhumanArcaneMessiah,7,2,391305
14,Unknowns,6,1,354481
15,Ronin Kings,11,1,347398
16,DB Minion,4,2,346180
17,Sjefs,7,2,346095
18,Roche Family,7,5,318589
19,T3RROR SQUAD,7,3,309972
20,Elite Mafia,7,1,308921
21,Death Squad,7,1,303394
22,German Crime,9,3,287561
23,Omedo Crew,9,0,281972
24,Scarlet Vipers,9,2,281027
25,Hacktivists,9,2,276658
26,UrbanLegends,7,3,265571
27,TAZZMANIAN DEVILS,6,3,263328
28,Drunk And Famous,6,4,247225
29,420 Nation,11,1,239890
30,Silver Wolfs,6,3,239196
31,SB1,7,7,235451
32,The Dark Lords,4,6,230793
33,420 Kings,5,5,227656
34,Speedsters,3,2,221374
35,La Main Noire,6,5,220629
36,The Brotherhood,5,5,216287
37,Syndicate Of War,8,1,215956
38,Owl Mafia,3,6,215734
39,Academy Of Villains,3,7,211665
40,MONROE MILITIA,7,3,221618
41,BDR,11,1,210461
42,K9 Killers,7,4,208632
43,Justice League Usa,6,1,208478
44,COCAINE GANG,9,0,207934
45,Guardians Of Deceit,9,3,206975
46,KILLER SHADOWS,10,10,205603
47,The Immortal Mob,2,8,202112
48,USMC,8,2,199738
49,Epic Criminals,7,3,199029
50,WAR,8,2,197863
51,Wildcats,8,4,193909
52,gang killers,7,4,187494
53,The Captains,3,7,184869
54,The Hellhounds,7,1,184017
55,Perfection,6,4,171010
56,Ghost,9,1,164401
57,The Allstar Crew,9,2,164030
58,The Criminal Minds,6,3,163065
59,Antrax,10,0,160834
60,The Hitmen,8,2,148883
61,Ndrangheta,6,1,148335
62,D34D 3ND,7,2,147624
63,Loco Killerz,7,2,147522
64,CangLong,9,5,140801
65,The Demented,4,5,140518
66,Dreamkingz,10,0,140489
67,Killswitch,12,1,139193
68,United Brotherhood,5,7,138973
69,Blakkout Unit,11,2,138164
70,Sinister Syndicate,7,2,136150
71,The Diamond Hustlers,11,1,135978
72,Spite,9,1,135978
73,Blood N Blood Out,9,3,131363
74,All We Do Iz Win Duh,8,1,129879
75,High Killers,9,2,129558
76,Cosa Nuestra,6,7,128044
77,LaFamilia,9,5,127436
78,Death Angels,6,6,126783
79,Usual Suspects,1,6,122612
80,Dutchkings,8,2,121872
81,Russians,5,2,121138
82,The Flock,5,2,117333
83,Povo Punters,14,4,117229
84,Empire City,6,1,114712
85,Escaflowne,5,7,114700
86,Hostile Takeover,6,3,114113
87,Wolves Den,5,3,113516
88,The Dark Knights,5,2,113480
89,NL Kings,6,5,112931
90,Criminal Masterminds,4,9,112165
91,Red N White,7,0,112101
92,Dragons Killer,4,1,112085
93,The Bro Show,5,5,111859
94,F1ght Club,7,1,111507
95,Undaunted,7,6,110779
