Manufacturer,Model,Tier,PP,EVO,Stars,Power,Grip,Shift Time,Weight,Cost ($),Cost (Gold)
Toyota,86,T1,161,0,,197,4250,500,2811,30000,125
Golf,GTI,T1,163,0,,200,3755,500,2875,30000,125
Fiat,Abarth 500,T1,163,0,,160,4000,500,2469,28500,120
Ford,Fiesta ST,T1,163,0,,197,3500,325,2875,28500,120
Hyundai,Veloster Turbo R Spec,T1,164,0,,201,5000,500,2877,,150
Mini,Cooper S,T1,164,0,,192,3620,500,2722,31500,130
Lotus,Exige Sport 350 Roaster,T2,305,0,,345,5505,400,2593,,370
Alfa Romeo,4C Spider,T2,305,0,,237,7100,325,2315,,385
Subaru,WRX STI,T2,304,0,,305,5410,400,3373,71500,260
BMW,M235i Coupé,T2,304,0,,320,4995,325,2875,75000,275
Volkswagen,Scirocco R,T2,305,0,,176,6000,325,3902,,350
Audi,TT RS,T2,305,0,,340,5346,400,3200,,370
Ford,Focus RS,T2,305,0,,345,6500,325,3273,,335
Mercedes,A45 AMG,T2,307,0,,355,6000,325,3262,,
Dodge,LB SRT Hellcat,T3,405,0,4,707,9200,325,4439,,
Chevrolet,Camaro SS,T3,406,0,,426,8000,400,4040,,785
BMW,M4 Coupé,T3,401,0,,425,7800,400,3585,200000,700
Audi,RS 5 Coupé,T3,401,0,,450,8200,400,3946,210000,735
Ford,Mustang GT Premium,T3,402,0,,435,7200,400,3665,190000,665
Chevrolet,Courvette Stingray,T3,403,0,,455,7000,325,3300,,865
BMW,LB E92 M3 GTS,T3,404,0,4,440,8000,325,2998,,
