Animal,Region,Rarity,Max Coins
Sheep,Farm,Common,6
Pig,Farm,Common,6
Rabbit,Farm,Common,6
Horse,Farm,Rare,10
Cow,Farm,Rare,10
Unicorn,Farm,Mythical,14
Kangaroo,Outback,Common,8
Platypus,Outback,Common,8
Crocodile,Outback,Common,8
Koala,Outback,Rare,12
Cockatoo,Outback,Rare,12
Tiddalik,Outback,Mythical,16
Zebra,Savannah,Common,10
Hippo,Savannah,Common,10
Giraffe,Savannah,Common,10
Lion,Savannah,Rare,14
Elephant,Savannah,Rare,14
Gryphon,Savannah,Mythical,18
Bear,Northern,Common,12
Skunk,Northern,Common,12
Beaver,Northern,Common,12
Moose,Northern,Rare,16
Fox,Northern,Rare,16
Sasquatch,Northern,Mythical,20
Penguin,Polar,Common,14
Seal,Polar,Common,14
Muskox,Polar,Common,14
Polar Bear,Polar,Rare,18
Walrus,Polar,Rare,18
Yeti,Polar,Mythical,22
Monkey,Jungle,Common,16
Toucan,Jungle,Common,16
Gorilla,Jungle,Common,16
Panda,Jungle,Rare,20
Tiger,Jungle,Rare,20
Phoenix,Jungle,Mythical,24
Diplodocus,Jurassic,Common,18
Stegosaurus,Jurassic,Common,18
Raptor,Jurassic,Common,18
T-Rex,Jurassic,Rare,
Triceratops,Jurassic,Rare,
Dragon,Jurassic,Mythical,
Wooly Rhino,Ice Age,Common,
Giant Sloth,Ice Age,Common,
Dire Wolf,Ice Age,Common,
Saber Tooth,Ice Age,Rare,
Mammoth,Ice Age,Rare,
Akhlut,Ice Age,Mythical,
