Destination,Animal 1,Animal 1 Amount,Animal 2,Animal 2 Amount,Animal 3,Animal 3 Amount,Points
Saturn,Beaver,2,,,,,28
Mercury,Yeti,1,,,,,48
Neptune,Gorilla,1,,,,,18
Neptune,Yeti,1,,,,,33
Saturn,Lion,1,Griffon,1,,,55
Uranus,Yeti,1,,,,,36
Venus,Opossum,1,,,,,55
Moon,Pig,1,,,,,12
Saturn,Rabbit,1,Pig,1,Unicorn,1,50
Moon,Giant Sloth,1,,,,,15
Mars,Saber Tooth,1,,,,,36
Uranus,Crocodile,1,Cockatoo,1,Platypus,2,50
Neptune,Dire Wolf,1,,,,,55
Saturn,Hippo,1,Lion,1,Zebra,1,40
Moon,Skunk,1,Bear,1,Beaver,1,50
Venus,Opossum,1,,,,,60
Jupiter,Dire Wolf,1,,,,,20
Neptune,Kangaroo,1,,,,,14
Neptune,Rat,1,,,,,50
Mercury,Lion,1,Griffon,1,,,48
Jupiter,Gorilla,1,Toucan,1,,,44
Saturn,Wolly Rhino,1,,,,,32
Moon,Raccoon,1,,,,,40
Mars,Platypus,1,Koala,1,Cockatoo,1,55
Mars,Bear,1,Moose,1,,,35
Neptune,Cockatoo,1,Crocodile,1,Kangaroo,1,41
Mercury,Skunk,2,Bear,1,,,55
Saturn,Stegosaurus,1,,,,,27
Venus,Bear,1,Moose,1,,,32
Jupiter,Sheep,2,Cow,2,,,60
Saturn,Sheep,2,Unicorn,1,,,55
Mars,Sheep,1,Cow,1,Unicorn,1,43
Jupiter,Mammoth,1,,,,,43
Uranus,Tiger,1,,,,,14
Neptune,Dragon,1,,,,,28
Jupiter,Giant Sloth,1,,,,,55
Venus,Saber Tooth,1,,,,,29
Moon,Moose,1,Bear,1,,,43
Neptune,Moose,1,,,,,26
Uranus,Gorilla,1,Monkey,1,,,50
Mercury,Pigeon,1,,,,,36
Mars,Wolly Rhino,1,,,,,22
Moon,Hippo,1,Zebra,1,Lion,1,31
Venus,Moose,1,Sasquatch,1,,,50
Saturn,Sheep,2,Horse,1,Pig,1,60
Neptune,Zebra,1,Hippo,1,,,22
Moon,Sasquatch,1,,,,,29
Uranus,Tiddalik,1,Cockatoo,1,,,55
Jupiter,Sheep,1,,,,,12
Uranus,Zebra,1,Giraffe,2,Hippo,1,50
Mars,Toucan,1,Phoenix,1,,,44
Moon,Tiger,1,,,,,60
Venus,Moose,1,,,,,11
Jupiter,Beaver,1,,,,,15
Saturn,Lion,1,Zebra,1,,,30
Neptune,Unicorn,1,,,,,32
Venus,Opossum,1,,,,,49
Moon,Panda,1,,,,,34
Mercury,Pig,1,Sheep,1,,,24
Jupiter,Kangaroo,2,,,,,25
