Number,Name,Colour 1,Colour 2,Colour 3,Colour 4,Price (Caps),Price (Doughnuts)
1,Das Holzagen '86,Red,White,Green,Black,400,
2,The Bugger 71,Orange,Brown,White,Blue,500,
3,The Pug-Up,Gold,White,Brown,Red,1000,
4,The Bubble,White,Gold,Blue,Red,2000,
5,The Duckling,Red,Gold,Brown,Blue,2000,
6,The 1980 SwanVan,Gold,White,Brown,Orange,3000,
7,The Meep 88,Blue,White,Red,Orange,4000,
8,The 1984 Doggo,Orange,Grey,Black,Blue,4000,
9,The '72 Band Mover,Black,Grey,Green,Beige,4000,
10,Das Sprintwagen '86,Brown,Grey,Black,Green,5000,
11,The Rustler,White,Orange,Purple,Brown,5000,
12,The Cherry Top,Police,,,,,200
13,The Old Moustache,Black,,,,5000,
14,The Baja 1967,White,Blue,Orange,Green,7000,
15,The Geezer 1959,Black,White,Beige,Brown,7000,
16,The 1961 Pig-Up,Black,Red,Orange,Blue,7000,
17,Der Schnitzel 79,Orange,Red,Grey,Black,8000,
18,The Grand Bruiser '76,Blue,Orange,White,Grey,8000,
19,The Bully,Blue,Purple,Black,Orange,10000,
20,The Sneaky Beak '69,Police,,,,,400
21,The Coyote 73,Black,Grey,Green,White,10000,
22,The Cook,White,Beige,Black,,10000,
23,The Bad Boink 1958,Black,Red,Grey,Orange,10000,
24,The '81 Bender,Blue,Orange,Red,Beige,11000,
25,1986 Polizwei,Police,,,,,600
26,The High Five 81,Grey,Black,Green,Blue,12000,
27,The Hoverion 1985,Grey,Black,Red,White,15000,
28,The Wangan 1981,Grey,Red,Black,Brown,20000,
