Gun,Cost,ACC,DMG,ROF,RLD,HNDL.
MK23 SOCOM,,62,42,30,44,35
MP5,,70,50,100,35,62
UMP45,,68,47,80,33,63
SG552 SIG,16755,70,51,90,33,62
MAGNUM .44,25000,70,95,50,20,60
DESERT EAGLE,25000,69,90,40,35,55
SPAS12,,59,23,36,30,45
UZI,36885,62,58,100,33,50
G36C,,,,,,
MAGPUL PDR,,,,,,
M4A1,355000,80,57,90,30,55
AK-47,355000,81,66,90,28,51
KSG12,295000,63,29,40,32,70
MK14A0,225600,90,110,50,26,53
BARRETT 98B,744500,80,400,14,30,70
KRISS VECTOR,205020,75,60,90,37,40
P90,250090,71,50,140,35,60
SCAR-H,180899,82,76,80,27,60
L85A2,280500,77,81,95,34,65
AA-12,425800,66,30,40,30,70
AS50 SNIPER,1330600,95,450,13,30,80
PG39 SMG,317800,87,52,110,39,60
ACR,297005,86,72,80,35,60
M249,1480900,72,70,120,10,50
F2000,360255,82,45,100,37,62
AK-2047,575300,87,65,90,28,57
M32 MGL,1870300,75,130,16,25,30
MN79,3000000,80,72,120,15,55
GUS-R SNIPER,3999500,99,500,14,33,60
GUS1,5000000,90,120,150,30,70
