Dinosaur,Stars,Level,Health,Attack,Money
Alanqa,1,14,84,32,672/1H
Bonitasaura,0,1,48,12,90/15H
Bonitasaura,0,10,71,18,893/15H
Bonitasaura,1,11,92,24,1965/15H
Bonitasaura,1,12,96,24,2143/15H
Bonitasaura,1,13,99,25,2322/15H
Bonitasaura,1,14,102,26,2500/15H
Bonitasaura,1,15,106,27,2679/15H
Bonitasaura,1,16,109,28,2857/15H
Bonitasaura,1,17,112,29,3036/15H
Bonitasaura,1,18,116,30,3215/15H
Bonitasaura,1,19,119,30,3393/15H
Bonitasaura,1,20,122,31,3572/15H
Carnotaurus,1,10,114,43,1139/4H
Coloborhynchus,0,1,43,16,12/15M
Coloborhynchus,0,2,45,17,23/15M
Coloborhynchus,0,3,48,18,34/15M
Coloborhynchus,0,4,50,19,46/15M
Coloborhynchus,0,6,55,21,68/15M
Coloborhynchus,0,7,57,22,80/15M
Coloborhynchus,0,8,60,23,91/15M
Coloborhynchus,0,9,62,24,102/15M
Coloborhynchus,0,10,64,25,114/15M
Diplocaulus,0,1,51,13,90/12H
Guanlong,0,1,46,13,48/6H
Guanlong,0,2,49,15,96/6H
Guanlong,0,3,51,16,144/6H
Guanlong,0,4,54,17,192/6H
Guanlong,0,5,56,18,240/6H
Guanlong,0,6,59,18,288/6H
Guanlong,0,7,61,19,336/6H
Guanlong,0,8,64,20,384/6H
Guanlong,0,9,66,21,421/6H
Guanlong,0,10,69,22,479/6H
Guanlong,1,11,89,28,1054/6H
Guanlong,1,12,93,29,1150/6H
Guanlong,1,13,96,30,1245/6H
Guanlong,1,14,99,31,1341/6H
Guanlong,1,15,102,32,1437/6H
Guanlong,1,16,105,33,1533/6H
Guanlong,1,17,109,34,1628/6H
Guanlong,1,18,112,35,1724/6H
Guanlong,1,19,115,36,1820/6H
Guanlong,1,20,118,37,1916/6H
Hatzegopteryx,0,4,53,20,142/1H
Hatzegopteryx,0,5,56,21,177/1H
Hatzegopteryx,0,6,58,22,212/1H
Hatzegopteryx,0,7,61,23,247/1H
Hatzegopteryx,0,8,64,24,283/1H
Hatzegopteryx,0,9,66,25,318/1H
Hatzegopteryx,0,10,69,26,353/1H
Hatzegopteryx,1,11,89,34,777/1H
Hatzegopteryx,1,12,92,35,847/1H
Hatzegopteryx,1,13,95,36,918/1H
Hatzegopteryx,1,14,98,38,988/1H
Hatzegopteryx,1,15,102,39,1059/1H
Hatzegopteryx,1,16,105,40,1129/1H
Hatzegopteryx,1,17,108,41,1200/1H
Hatzegopteryx,1,18,111,42,1272/1H
Hatzegopteryx,1,19,114,44,1341/1H
Hatzegopteryx,1,20,118,45,1412/1H
Koolasuchus,1,1,84,26,71/3H
Labyrinthodontia,0,1,43,16,34/3H
Labyrinthodontia,0,4,50,19,133/3H
Labyrinthodontia,0,5,52,20,166/3H
Labyrinthodontia,0,6,54,21,199/3H
Labyrinthodontia,0,7,57,22,232/3H
Labyrinthodontia,0,8,59,23,265/3H
Labyrinthodontia,0,9,62,24,299/3H
Labyrinthodontia,0,10,64,24,332/3H
Labyrinthodontia,1,11,83,32,729/3H
Labyrinthodontia,1,12,86,33,795/3H
Limnoscelis,1,20,123,31,1152/3H
Majungasaurus,1,20,104,40,1152/3H
Pelecanimimus,0,2,51,16,81/3H
Pelecanimimus,0,3,53,17,121/3H
Pelecanimimus,0,4,56,18,161/3H
Pyroraptor,1,10,121,46,749/3H
Tapejara,1,1,77,24,97/3H
Tapejara,1,2,81,25,193/3H
Tapejara,1,3,86,27,290/3H
Tapejara,1,4,90,28,386/3H
Tapejara,1,5,94,29,483/3H
Tapejara,1,6,99,31,579/3H
Tapejara,1,7,103,32,676/3H
Tapejara,1,8,107,34,772/3H
Tapejara,1,9,111,35,869/3H
Tapejara,1,10,116,36,965/3H
Triceratops,0,10,74,19,40/5M
Triceratops,1,11,96,25,88/5M
Triceratops,1,12,100,25,96/5M
Triceratops,1,13,103,26,104/5M
Triceratops,1,14,106,27,112/5M
Triceratops,1,15,110,28,120/5M
Triceratops,1,16,113,29,128/5M
Triceratops,1,17,117,30,136/5M
Triceratops,1,18,120,31,144/5M
Triceratops,1,19,124,32,152/5M
Triceratops,1,20,127,32,160/5M
Triceratops,2,21,156,40,336/5M
Triceratops,2,22,161,41,352/5M
Triceratops,2,23,165,42,368/5M
Triceratops,2,24,169,43,384/5M
Triceratops,2,25,173,44,400/5M
Triceratops,2,26,177,45,416/5M
Triceratops,2,27,181,46,432/5M
Triceratops,2,28,185,47,448/5M
Triceratops,2,29,189,48,464/5M
Triceratops,2,30,194,49,480/5M
Tropeognathus,1,17,111,35,1665/6H
Tropeognathus,1,18,114,36,1763/6H
Tropeognathus,1,19,118,37,1861/6H
Tropeognathus,1,20,121,38,1959/6H
Tropeognathus,2,25,165,51,4897/6H
Tropeognathus,2,26,168,53,5092/6H
Tropeognathus,2,30,184,58,5876/6H
Utahraptor,0,1,47,18,40/2H
Utahraptor,0,2,49,19,80/2H
Utahraptor,0,3,52,20,119/2H
Utahraptor,0,4,54,21,159/2H
Utahraptor,0,10,70,27,397/2H
