Dinosaur,Type,Hybrid,Rarity
Alanqa,Pterosaur,No,Common
Bonitasaura,Herbivore,No,
Carnotaurus,Carnivore,No,Rare
Coloborhynchus,Pterosaur,No,
Diplocaulus,Amphibian,No,Rare
Guanlong,Carnivore,No,
Hatzegopteryx,Pterosaur,No,
Koolasuchus,Amphibian,No,Rare
Labyrinthodontia,Amphibian,No,Common
Limnoscelis,Amphibian,No,Common
Majungasaurus,Carnivore,No,Common
Pelecanimimus,Herbivore,No,
Pyroraptor,Carnivore,No,
Tapejara,Pterosaur,No,Rare
Triceratops,Herbivore,No,Common
Tropeognathus,Pterosaur,No,Common
Utahraptor,Carnivore,No,Common
Argentinosaurus,Herbivore,No,Common
Stegosaurus,Herbivore,No,Super Rare
Stegoceratops,Herbivore,Yes,Super Rare
