Date,Type,Item,Cost
18/04/2016,Tops,Crumpled Shirt,1680
18/04/2016,Socks,Bright Sports Set (Socks),900
18/04/2016,Tops,Love Kanji T-Shirt,"1,500"
18/04/2016,Bottoms,Denim Miniskirt,780
18/04/2016,Bottoms,Shorts with Round Belt Buckle,900
18/04/2016,Bottoms,Stripy Pyjama Set (Bottoms),800
18/04/2016,Bottoms,Starry Tights,1080
18/04/2016,Shoes,Punk Rock Set (Boots),650
18/04/2016,Shoes,Traditional Japanese Sandals,800
18/04/2016,Accessories,Swallowtail Butterfly Wings,2400
18/04/2016,Headwear,Dinosaur Set (Head),2000
18/04/2016,Suits,Retro Flower Power Dress,2250
18/04/2016,Suits,Devil Outfit,7800
19/04/2016,Bottoms,Grid Check Trousers,1080
19/04/2016,Bottoms,Stripy Cropped Trousers,900
19/04/2016,Suits,Cheeky Devil Outfit,8330
19/04/2016,Tops,Gingham T-Shirt,1180
19/04/2016,Tops,Funky Jacket with Badges,1500
19/04/2016,Bottoms,Geometric Patterned Skirt,1100
19/04/2016,Bottoms,Polka Dot Leggings,800
19/04/2016,Socks,Stripy Knee-High Socks,650
19/04/2016,Shoes,Traditional Japanese Sandals,800
19/04/2016,Shoes,Gladiator Sandals,650
19/04/2016,Accessories,Linen Scarf,1180
19/04/2016,Headwear,Top Knot,1500
19/04/2016,Suits,Classical Toga,2450
