Level,Name,Style Points Required,Reward
1,Stylist,0,1x Game Ticket
2,Natural Stylist,10,1x Game Ticket
3,Original Stylist,20,1x Game Ticket
4,Innovative Stylist,30,1x Game Ticket
5,Boutique Stylist,40,1x Style Lvl. 5 Hat
6,Celebrity Stylist,60,1x Game Ticket
7,World-Famous Stylist,80,1x Game Ticket
8,Genius Stylist,100,1x Game Ticket
9,Ultimate Stylist,130,1x Game Ticket
10,Forever Stylist,160,1x Style Lvl. 10 Hat
11,Trailblazer,200,1x Game Ticket
12,Natural Trailblazer,240,1x Game Ticket
13,Original Trailblazer,,1x Game Ticket
14,Innovative Trailblazer,,1x Game Ticket
15,Boutique Trailblazer,,1x Style Lvl. 15 Hat
16,Celebrity Trailblazer,,1x Game Ticket
17,World-Famous Trailblazer,,1x Game Ticket
18,Genius Trailblazer,,1x Game Ticket
19,Ultimate Trailblazer,,1x Game Ticket
20,Forever Trailblazer,,1x Style Lvl. 20 Hat
