Manufacturer,Model,Class,PR,TPS,ACL,HDL,N20,Unlock
BMW,M3 Coupé 1999,Classic Sport,269,900,1000,840,950,4
BMW,M4 F82,Sport,514,2867,3700,,3283,20
BMW,"M4 ""Razor""",Sport,,,,,,Special Event
Dodge,Challenger SRT8,Muscle,454,2767,2100,,2433,10
Dodge,"Challenge SRT ""Snoop Dogg""",Muscle,,,,,,Special Event
Ferrari,458 Italia,Super,662,4500,5700,,5100,35
Ford,Fiesta ST,Street,200,462,277,,591,3
Ford,Mustang GT,Muscle,500,3000,2900,,2950,15
Ford,"Mustang GT ""Razor""",Muscle,,,,,,Special Event
Ford,"Shelby GT500 ""Snoop Dogg""",Muscle,586,4000,3700,,3850,Special Event
Koenigsegg,CCX,Hyper,800,7530,6300,,6915,40
Lamborghini,Aventador,Hyper,700,5925,5100,,6615,35
Mazda,RX-7 (FD),Classic Sport,299,1667,600,,1133,4
McLaren,650S,Super,684,4725,6300,,5513,35
Mercedes-AMG,GT,Super,581,3500,3900,,4440,25
Nissan,Skyline GT-R BNR32,Classic Sport,455,2333,3300,,2817,10
Nissan,GT-R R35,Sport,631,3700,6000,,4850,25
Pagani,Huayra,Hyper,715,6210,5700,,5955,35
SRT,Viper GTS,Muscle,648,4575,4500,,5445,25
Subaru,BRZ,Street,243,686,654,,670,3
Subaru,Impreza WRX STI,Street,332,1633,1200,,1842,5
Toyota,GT86,Street,219,500,475,,488,3
Toyota,Supra,Classic Sport,452,2667,2300,,2483,15
Porsche,911 (993) Carrera,Classic Sport,388,2333,1300,,1817,8
Porsche,911 Careera 911,Sport,508,2933,2900,1780,3500,15
Volkswagen,Golf GTI,Street,275,1300,475,,888,3
