Category,Level,Description,Placement,Cost (Views),Time,Points
Animal,2,Food Bowl,Surface,365,3m 50s,
Animal,3,Sleeping Cat,Surface,1690,10m 40s,
Animal,4,Blu the Bunny,Surface,5630,24m 30s,
Animal,5,Fish Painting,Wall,14600,46m 20s,
Animal,6,Duck Painting,Wall,27000,1h 10m 40s,
Beauty,2,Makeup Brushes,Surface,350,3m 40s,
Beauty,3,,Surface,1770,11m 15s,
Beauty,4,,Surface,5710,24m 50s,
Beauty,5,,Surface,13900,44m 50s,
Beauty,6,Mirrors,Wall,28800,1h 13m 40s,
Comedy,2,Pie,Surface,355,3m 45s,
Comedy,3,Mouse Trap,Surface,1710,10m 50s,
Comedy,4,Poo,Surface,5400,23m 40s,
Comedy,5,Whoopie Cushion,Surface,13900,44m 50s,
Comedy/Dark,6,Scream Mask,Wall,28600,1h 13m 30s,
Dark,2,Candles,Surface,375,3m 55s,
Dark,3,,Surface,1750,11m 5s,
Dark,4,Bedframe,Surface,5530,24m 10s,
Dark,5,Beer Bottle,Surface,12900,42m 50s,
Gaming,2,Generic Poster,Wall,340,3m 35s,54
Gaming,3,NES,Surface,1860,11m 50s,178
Gaming,4,Outerminds Poster,Wall,5910,25m 40s,
Gaming,5,Retro TV,Surface,14700,46m 40s,
Lifestyle,2,Small Table,Surface,325,3m 25s,
Lifestyle,3,Pillow,Surface,1670,10m 35s,
Lifestyle,4,Wooden Crate,Surface,5450,23m 50s,
Lifestyle,5,Purble Lamp,Surface,13500,44m 00s,
Lifestyle,6,Asian Lantern,Surface,26500,1h 10m 00s,
Music,2,Walkman,Surface,355,3m 45s,
Music,3,Keyboard,Surface,1930,12m 10s,
Music,4,Music Stand,Surface,5710,24m 50s,
Music,5,Triangle,Surface,13600,44m 10s,
Music,6,Xylophone,Surface,28200,1h 12m 40s,
Nature,2,Small Pot Plant,Surface,365,3m 50s,
Nature,3,Small Pot Plant,Surface,1680,10m 35s,
Nature,4,Small Pot Plant,Surface,5310,23m 20s,
Nature,5,Tree Pot,Surface,13200,43m 20s,
Nature,6,Fern,Surface,26100,1h 09m 20s,
Science,2,Files,Surface,330,3m 25s,
Science,3,Earth Poster,Wall,1880,11m 55s,
Science,4,Papers,Surface,5530,24m 10s,
Science,5,Stack of Papers,Surface,13500,43m 50s,
Science,6,,Surface,27100,1h 11m 00s,
Sport,2,Basketball,Surface,380,4m 00s,
Sport,3,Sports Water Bottle,Surface,1640,10m 25s,
Sport,4,Hockey Puck,Surface,5220,23m 00s,
Sport,5,Tennis Ball,Surface,12600,42m 00s,
Sport,6,Weights,Surface,28500,1h 13m 10s,
Holidays (Christmas),4,Small Present,Surface,5750,25m 00s,
Holidays (Christmas),5,Snow Cube,Surface,14400,46m 00s,
Holidays (Christmas),6,Pile of Snowballs,Surface,29300,1h 14m 30s,1110
