Level,Level Name,Stars,Best Distance,Best Retries,Coins,Checkpoints
1,Small Leap,3,77.37,0,0/0,0/0
2,Step at a Time,3,106.93,0,2 of 2,1 of 2
3,Proof of Concept,3,187.07,0,3 of 4,0 of 2
4,Eye Bee See,3,298.72,0,1 of 2,0 of 2
5,Loop it!,3,246.18,0,3 of 4,0 of 3
6,Splish Splash,3,273.34,0,1 of 3,0 of 3
7,Lift Off,3,296.49,0,3 of 4,0 of 3
A1,Ad Break,3,299.09,0,5 of 7,0 of 3
8,3,3,123.45,0,1 of 3,0 of 2
9,"Ready, Set, Retry",3,375.25,0,1 of 4,0 of 5
10,Easy Going,3,366.7,0,2 of 4,0 of 4
11,Summertime Flight,3,365.16,0,0 of 3,0 of 4
B1,Spring Loaded,3,381.15,17,0 of 4,2 of 3
12,Column Jungle,3,397.25,0,0 of 3,1 of 4
13,Planeholder,3,349.99,0,0 of 3,0 of 3
14,Reach for the Sky,3,399.28,0,0 of 3,0 of 4
15,Amphibious,1,430.98,67,1 of 3,2 of 4
