Planet,Level,Cycles,Reactors,Symbols
Sernimir II,Of Pancakes & Spaceships,118,1,6
Sernimir II,Slightly Different,118,1,6
Sernimir II,Crossover,158,1,16
Sernimir II,An Introduction to Bonding,120,1,12
Sernimir II,A Brief History of SpaceChem,123,1,16
Sernimir II,Removing Bonds,50,1,11
Sernimir IV,Double Bonds,165,1,16
Sernimir IV,Best Left Unanswered,184,1,17
Sernimir IV,Multiple Outputs,139,1,13
Sernimir IV,An Introduction to Pipelines,407,0,0
Sernimir IV,There's Something in the Fishcake,422,1,12
Sernimir IV,Sleepless on Sernimir IV,934,2,41
Danopath,Every Day is the First Day,222,1,32
Danopath,It Takes Three,254,1,33
Danopath,Split Before Bonding,166,1,22
Danopath,Settling into the Routine,1148,3,52
Danopath,Nothing Works,1000,4,85
Danopath,Challenge: In-Place Swap,,,
Alkonost,An Introduction to Sensing,248,1,14
Alkonost,Prelude to a Migraine,156,1,21
Alkonost,Random Oxides,516,1,23
Alkonost,No Ordinary Headache,1435,3,65
Alkonost,No Thanks Necessary,,,
Alkonost,Challenge: Going Green,,,
Sikutar,Ice to Meet You,146,1,11
Sikutar,Under the Ice,197,1,31
Sikutar,Unknown Sender,163,1,32
Sikutar,Falling,,,
Sikutar,Challenge: Applied Fusion,,,
