Date,Time,Position,Faction,Name,Level,Total Strength,Tag,Gameloft Player Id
13/05/2019,20:20,1,S8,RedFox,22,30008034,w22 veteran,355g8h
13/05/2019,20:20,2,DBD,~Chaos~,22,23293519,"I'll Be Ya Huckleberry",d5h2d0
13/05/2019,20:20,3,UGK,BIGBOOM,25,20662088,"google FDAmusic thats me - BIGBOOM#4035 [TAS]w3",e7gh4d
13/05/2019,20:20,4,S8,Meowsers,24,14964357,,8e6929
13/05/2019,20:20,5,DBD,DontJudgeMe,20,11176428,"Don't Be Mad, its just a game",hgh282
13/05/2019,20:20,6,UGK,KESKIN,19,9674886,,c78d01
13/05/2019,20:20,7,UGK,Raubtier,24,9167379,World-2 Xbox.World19 Andr..Quasar-Raubtier,e2def3
13/05/2019,20:20,8,S8,Solid HawKz,19,7671145,,7c30eg
13/05/2019,20:20,9,UGK,RasAlGhul,23,7532329,,803de4
13/05/2019,20:20,10,DAG,Tang!,20,6797879,,345d03
