Day,Reward,Bronze Loyalty Reward,Freeblade Level
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,2x Revive,1700x Ore,11
15,Rare Wargear Crate (55),20x Gold,11
16,2x Boost XP,2x Boost Loot Quality,11
17,1700x Ore,1700x Ore,11
18,2x Boost Knight Power,2x Revive,11
19,Uncommon Wargear Crate (44),2050x Ore,11
20,2050x Ore,2x Boost XP,11
21,2x Boost Ore,Uncommon Wargear Crate (44),11
22,30x Gold,Legendary Wargear Crate (77),11
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,Rare Wargear Crate (55),,
