Chapter,Chapter Title,Level,Level Title,Objective
1,Into The Fire,1,Rise of the Freeblade,Campaign
1,Into The Fire,1,Rise of the Freeblade,Slaughter
1,Into The Fire,2,Cutting Through,Campaign
1,Into The Fire,2,Cutting Through,Destruction
1,Into The Fire,3,"Cleanse, Purge, Kill!",Campaign
1,Into The Fire,3,"Cleanse, Purge, Kill!",Destruction
1,Into The Fire,4,The Green Tide,Campaign
1,Into The Fire,4,The Green Tide,Storm
2,Heavy Resistance,1,Speed Freakz,Campaign
2,Heavy Resistance,1,Speed Freakz,Assassination
2,Heavy Resistance,2,Siegebreaker,Campaign
2,Heavy Resistance,2,Siegebreaker,Storm
2,Heavy Resistance,3,Heavy Metal,Campaign
2,Heavy Resistance,3,Heavy Metal,Assassination
2,Heavy Resistance,4,The Nobz,Campaign
2,Heavy Resistance,4,The Nobz,Storm
3,Arboreal Assault,1,Forest Fighting,Campaign
3,Arboreal Assault,1,Forest Fighting,Assassination
3,Arboreal Assault,2,Beastslayer,Campaign
3,Arboreal Assault,3,,
3,Arboreal Assault,4,,
3,Arboreal Assault,5,,
4,A Foul Taint,,,
5,Narrow Escape,,,
6,Duty Before Vengeance,,,
7,Hunting the Source,,,
8,Maw of Chaos,,,
9,Titanic Clash,,,
10,Decapitation,,,
11,Road to Redemption,,,
