Slot,Name,Rarity
Mounted Weapon,Rocket Launcher of the Merciless,Rare
Mounted Weapon,Rocket Launcher,Uncommon
Ion Shield,Ion Shield,Uncommon
Heavy Weapon,Thermal Cannon of Destruction,Epic
Heavy Weapon,Cannon of the Reborn,Legendary
Heavy Weapon,Gatling Cannon,Uncommon
Heavy Weapon,Thermal Cannon,Uncommon
Heavy Weapon,Battle Cannon,Uncommon
Helm,Helmet of the Reborn,Legendary
Helm,Battered Mask,Common
Chestplate,Brave Breatplate of Strength,Rare
Carapace,Castellan's Shell,Uncommon
Carapace,Engraved Carapace,Uncommon
Pauldrons,Shining Shoulderplates of Sanctification,Rare
Pauldrons,Salvaged Pauldrons,Common
Light Weapon,Stubber of the Reborn,Legendary
Light Weapon,Melta Gun,Uncommon
Melee Weapon,Chainsword,Uncommon
Legplates,Adamantine Sabatons,Uncommon
Legplates,Duelist's Sabatons,Uncommon
Legplates,Reinforced Leg Guards,Uncommon
Legplates,Battered Leg Guards,Common
