Name,Rarity,Rating,Slots,Damage,Round Capacity,Reload (Secs),Bonus
Rocket Launcher of Certain Death,Rare,65,0/3,244,13,48.1,+3.3% Critical Strike Chance
Autocannon,Uncommon,64,0/2,161,21,38.5,
Autocannon,Uncommon,64,0/2,162,20,38.4,
Rocket Launcher of Honor,Rare,60,0/3,229,13,47.9,+3.2% Critical Strike Chance
Missile Launcher,Uncommon,60,0/2,464,6,45,
Rocket Launcher,Uncommon,52,0/2,237,12,49,
Missile Launcher,Uncommon,52,0/2,407,6,44.3,
Missile Launcher of the Merciless,Rare,50,0/3,348,7,42.4,+3.1% Critical Strike Chance
Missile Launcher,Uncommon,48,0/2,384,6,42.9,
Autocannon,Uncommon,48,0/2,125,20,38.9,
Rocket Launcher,Uncommon,44,0/2,210,12,49.2,
Rocket Launcher,Uncommon,44,0/2,210,13,48.4,
Rocket Launcher,Uncommon,40,0/2,338,6,43.4,
Missile Launcher,Uncommon,40,0/2,339,6,44.2,
Missile Launcher,Uncommon,36,0/2,318,6,43.9,
Autocannon,Uncommon,36,0/2,106,20,38.8,
