Item, Type, Price
2x Aethana, Shards, 215
2x Commissar Yarrick, Shards, 215
2x Isabella, Shards, 215
3x Aethana, Shards, 320
3x Commissar Yarrick, Shards, 320
3x Isabella, Shards, 320
5x Aethana, Shards, 525
5x Common Imperial Badges, Badges, 225
5x Common Xeno Badges, Badges, 225
20x Common Chaos Badges, Badges, 900
20x Common Imperial Badges, Badges, 900
3x Rare Imperial Badges, Badges, 540
6x Rare Xeno Badges, Badges, 1080
2x Epic Chaos Badges, Badges, 720
4x Epic Chaos Badges, Badges, 1440
4x Epic Xenos Badges, Badges, 1400
8x Epic Imperial Badges, Badges, 2880
2x Legendary Xeno Badges, Badges, 1440
4x Legendary Imperial Badges, Badges, 2880
1x Tome of War, XP Upgrade, 60
3x Tome of War, XP Upgrade, 170
1x Codex of War, XP Upgrade, 300
