Trait, Description
Beast Snagga, "Deals +20% melle Damage to Big Targets and Vehicles. Has an added 10% chance to Block 20% of its max Health as Damage"
Big Target, "Due to its size, this unit benefits less from cover but also provides some obstruciton to enemy sighting. Does not get any bonuses from Tall Grass and Trenches. Adjacent friendly units receive -1 hit from ranged attacks, to a minimum of 1. Cannot be displaced"
Dakka, "For attacks with range 3 or more, has +2 hits if the target is at range 2"
Explodes, "This unit explodes on death, dealing 25% of its max Health as Damage to all adjacent units"
Final Vengeance, "When this unit uoses its last Health, it immediately performs a normal attack on an eligible target and is then defeated as normal, unless Overkilled"
Flying, "Can traverse impassable hexes and enemies and move between any elevation. Does not get any bonuses from Tall Grass and Trenches"
Healer, "Can Heal a friendly unit's Health as its action. The amount of Health restored equals the Healer's Damage multiplied by the highest number of hits of any of their weapons"
Heavy Weapon, "Deals Ranged +25% Damage if it has not moved this turn"
Infiltrate, "This unit doe snot trigger Overwatch"
Mechanic, "Can Repair a friendly Mechanical unit's Health as its action. The amount of Health restored equals the Mechanic's Damage multiplied by the highest number of hits of any of their weapons"
Mechanical, "Cannot be Healed but can be Repaired instead"
Mk X Gravis, "Any incoming Damage has to go through Armour a second time. Does not apply to Crits"
Overwatch, "A unit that has not attacked during its turn immediately attacks when an enemy moves within range during the enemy's turn"
Psyker, "When attacking with a ranged Psychic attack, this unit uses Smite and deals 50% of that Damage to a random enemy adjacent to the target"
