Upgrade Type, Rarity, Name, Recipe
Armour, Legendary, Purity Seal of the Primarch, 
Armour, Epic, Decorated Cloak, 1x Fine Cloak 3x Metal Decorative Skull 3x Writings
Armour, Epic, Grand Purity Seal, 1x Blessed Purity Seal 6x The Gold Phoenix
Armour, Epic, Hypermaterial Shifter,
Armour, Rare, 'ard Plate, 
Armour, Rare, Artificer Tasset Plate, 
Armour, Rare, Bladesman's Honour,
Armour, Rare, Blasphemous Armour Trim, 
Armour, Rare, Blessed Corset Armour, 
Armour, Rare, Blessed Purity Seal, 6x Oath Seal 4x Purity Seal 4x Fine Purity Seal
Armour, Rare, Blessed Tabbard, 
Armour, Rare, Ceramite Bar,
Armour, Rare, Crate of Salvage,
Armour, Rare, Fine Cloak, 4x Cloak 4x Ropes and Chains
Armour, Rare, Flak Plates, 
Armour, Rare, Unnatural Vapour Dispenser, 
Armour, Rare, Wraithbone Plate,
Armour, Uncommon, Air Purificator, 
Armour, Uncommon, Cloak, 
Armour, Uncommon, Oath Seal,
Damage, Epic, Bionic Neural Pathways, 
Damage, Epic, Blessed Promethium Canister, 
Damage, Epic, Greater Reliquary of Vengeance, 
Damage, Epic, Special Issue Ammo,
Damage, Epic, Plasma Cell Crate, 1x Plasma Cell Bundle 6x Crate of Salvage
Damage, Rare, Plasma Cell Bundle, 6x Plasma Cell 3x Barrel of Promethium 7x Can of Promethium
Damage, Rare, Bionic Eye, 
Damage, Rare, Box of Ammo, 2x Magazine 1x Belt of Frag Grenades
Damage, Rare, Chains of Zeal, 
Damage, Rare, Classified Data-Slate, 
Damage, Rare, Entrenching Tool, 
Damage, Rare, High-Capacity Power Pack, 2x Power Pack Bundle 5x Plasma Cell
Damage, Rare, Hymn of Martyrs, 
Damage, Rare, Icon of Vengeance, 
Damage, Rare, Iron Jaw, 
Damage, Rare, Krak Grenade, 
Damage, Rare, Psytronome, 
Damage, Rare, Sigil of Decay, 
Damage, Rare, Supernatural Sight, 6x Ballistics Data 5x Writings 6x Scrolls
Damage, Rare, Tank of Promethium, 
Damage, Uncommon, Belt of Frag Grenades, 6x Frag Grenade
Damage, Uncommon, Fine Auxiliary Core, 
Damage, Uncommon, Magazine, 6x Round of Ammo
Damage, Uncommon, Plasma Cell,
Damage, Common, Ballistics Data, 
Damage, Common, Frag Grenade, 
Damage, Common, Single Power Pack, 
Damage, Common, Round of Ammo, 
Health, Legendary, Engrammatic Entangler, 
Health, Epic, Golden Ornamental Skull, 
Health, Epic, Spirit Stone, 9x Waystone
Health, Epic, Greater Reliquary of Protection, 
Health, Epic, Terminator Honours, 
Health, Rare, Ancient Runes, 
Health, Rare, Bad Moon Teef, 
Health, Rare, Battle Scar, 
Health, Rare, Box of Rations, 8x Enriched Rations 7x Field Rations
Health, Rare, Kill Count, 
Health, Rare, Metal Decorative Skull, 
Health, Rare, Mutation: Warped Heart, 
Health, Rare, Plague Bell,
Health, Rare, Reconstitution Protocols, 
Health, Rare, Repair-Kit, 
Health, Rare, Righteous Candle, 
Health, Rare, Rose of Martyrs,
Health, Rare, Waystone, 
Health, Rare, Zeidos Ribbon, 
Health, Uncommon, Bionic Enhancement, 
Health, Uncommon, Enriched Rations, 
Health, Uncommon, Helmet Trophy, 
Health, Uncommon, Writings, 
Health, Common, Field Ration, 
Health, Common, Ropes and Chains, 
Health, Common, Scrolls, 
