Achievement,Description,Points
Asteroid Riches,Connect Anno 2205 with \"ANNO 2205 - Asteroid Miner\",10
Housing Hypothesis,Settle Scientists in one of your cities,10
Online,Settle Operators in one of your cities,10
Creating Space, Claim a second island or crater in any sector,10
Democracy, Ho!,Vote for the first time,10
Make It So,Settle Executives in one of your cities,10
Bridge Day,Finish a bridge construction project,10
Whiteout,Found an arctic settlement,10
High-Wire Act,Complete Phase 1 of the Lunar Licensing Program,10
Winter Soldier,Complete an Crisis Sector in the Arctic Region on standard difficulty,10
Terror of the Seas,Destroy 100 enemy vehicles,10
Interpolar Express,Create a Transfer Route from or to an Arctic sector,10
Full Service,Clear a Crisis Sector with all optional Assignments,20
Under Arms,Complete an Crisis Sector in the Temperate Region on standard difficulty,10
Global Player,Trade with the World Market,10
Business Friends,Trade with Nic Papadakis,10
Closing the Circuit,"Produce +1,000 energy in a single sector",10
Shrinking the Big Five,Reach the first place in the corporation ranking in hard mode,30
Acknowledged,Settle Officers in one of your cities,10
Council Matters,Vote 10 times,10
Ring the Till,"Have a credit balance of +1,000",10
Top of the World,Reach the first place in the corporation ranking,20
The Upper Crust,Settle investors in one of your cities,10
Part of the System,Take bribes 20 times,10
Feed the World,Vote 10 times for Emem Buhari,10
Heir of the ANNOkrat,"Reach a population of 1,000,000 over all sectors in hard mode",30
Incorruptible,Refuse bribes 20 times,10
The Establishment,Vote 10 times for Luca Volodin,10
Scientfic Consultant,Vote 10 times for Dr. Elanor Hofwegen,10
Legacy,"Reach a population of 1,000,000 over all sectors",20
The Spy Who Loved Her,Vote 10 times for May Tian,10
Power Struggles,Vote 10 times for Aidan Bhargava,10
High-end Technology,Reach 'Master' level for any ship,10
Know Your Tools,Use 100 special actions,10
Me and THAT Army,Use the Support Fleet 50 times,10
Stunning Presence,Use the EM Pulse 50 times,10
Back to the Stone Age,Use the Tactical Nuke 50 times,10
Medic!,Use the Repair Drones 50 times,
Scientific Victory,Reach 'Master' level for all ships,30
Get Off Me!,Use the Wave Mine 50 times,10
I'm Rubber, You're Glue,Use the Kinetic Shield 50 times,10
Monumental,Construct a corporation headquarter,30
Wave Rider,Found a lunar settlement,10
Cornucopian,"Construct 1,000 modules",10
Because I Can,Expand your corporation headquarter with all different modules,40
Multinational Company,Claim an island in every sector,20
Gentrification,Demolish 100 buildings,10
Beautiful Mind,Construct 5000 ornamentals,20
Expansionist,Claim all islands and craters in al sectors of the basic game,10
Chief Architect,"Construct 10,000 buildings",10
Looks Better There,Move 100 buildings,10
Enjoy Your Stay!,Complete the sector project in Mare Relictum,10
Eye-Hand Coordination,Demolish 30 buildings at once,10
Silicon Valley,Construct10 silicon mines in one sector,10
Project Manager,Complete the sector projects in all sectors of the basic game,30
Meteoric Rise,Complete the sector project in Iwamoto Crater,10
