Manufacturer,Model,Game
Abarth,500 EsseEsse,Base
Alfa Romeo,155 TI V6,Dreampack #1
Alfa Romeo,4C,Dreampack #1
Alfa Romeo,GTA,Dreampack #1
Alfa Romeo,Giulietta QV,Base
Alfa Romeo,Giulietta QV Launch Edition 2014,Base
BMW,1M,Base
BMW,M235i Racing,Dreampack #1
BMW,M3 E30,Base
BMW,M3 E30 Group A,Base
BMW,M3 E92,Base
BMW,M3 GT2,Base
BMW,Z4 E89,Base
BMW,Z4 GT3,Base
Chevrolet,Corvettte C7R,Dreampack #1
Ferrari,312T,Base
Ferrari,458 GT2,Base
Ferrari,458 Italia,Base
Ferrari,599XX EVO,Base
Ferrari,F40,Base
Ferrari,La Ferrari,Base
KTM,X-Bow R,Base
Lotus,2 Eleven,Base
Lotus,2 Eleven GT4,Base
Lotus,Elise SC,Base
Lotus,Evora GTC,Base
Lotus,Evora GTE,Base
Lotus,Evora GTE Carbon,Base
Lotus,Evora GX,Base
Lotus,Evora S,Base
Lotus,Exige 240R,Base
Lotus,Exige S,Base
Lotus,Exige S Roadster,Base
Lotus,Exige Scura,Base
Lotus,Exige V6 CUP,Base
Lotus,Exos 125,Base
Classic Team Lotus,98T,Base
Classic Team Lotus,Type 49,Base
McLaren,F1 GTR,Dreampack #1
McLaren,MP4-12C,Base
McLaren,MP4-12C GT3,Base
McLaren,P1,Dreampack #1
Mercedes,SLS AMG,Base
Mercedes,SLS AMG GT3,Base
Mercedes-Benz,190E EVO II,Dreampack #1
Mercedes-Benz,C9 1989 LM,Dreampack #1
Nissan,GT-R GT3,Dreampack #1
Pagani,Huayra,Base
Pagani,Zonda R,Base
RUF,CTR Yellowbird,Base
P4/5,Competizione Model 2011,Base
Shelby,Cobra 427 S/C,Base
Tatuus,Formula Abarth,Base
