Name, Type, Level
M443, Assault Rifle, 13
B36A4, Assault Rifle, 8
SOR-556 Mk2, Assault Rifle, 0
AK4D, Assault Rifle, N/A
TR-7, Assault Rifle, N/A
KORD 6P67, Assault Rifle, 6
NVO-228E, Assault Rifle, 8
L85A3, Assault Rifle, 3
VCR-2, Assault Rifle, N/A
M4A1, Carbine, 1
M277, Carbine, 18
AK-205, Carbine, 3
M417 A2, Carbine, N/A
GRT-BC, Carbine, N/A
QBZ-192, Carbine, 0
SG 553R, Carbine, 1
SOR-300SC, Carbine, N/A
SGX, SMG, 2
PW5A3, SMG, 13
PW7A2, SMG, 0
UMB-40, SMG, N/A
USG-90, SMG, N/A
KV9, SMG, N/A
SCW-10, SMG, 1
SL9, SMG, N/A
CZ3A1, SMG, N/A
L110, LMG, 4
DRS-IAR, LMG, 6
M/60, LMG, 0
RPKM, LMG, N/A
M123K, LMG, N/A
M250, LMG, N/A
KTS100 Mk8, LMG, 0
M240L, LMG, N/A
M121 A2, LMG, 0
M39 EMR, DMR, 2
LMR27, DMR, 0
SVK-8.6, DMR, N/A
SVDM, DMR, N/A
GRT-CPS, DMR, 0
M2010 ESR, Sniper Rifle, 2
SV-98, Sniper Rifle, 0
PSR, Sniper Rifle, N/A
Mini Scout, Sniper Rifle, 0
M87A1, Shotgun, 13
M1014, Shotgun, N/A
18.5KS-K, Shotgun, 0
DB-12, Shotgun, N/A
P18, Secondary, 18
ES 5.7, Secondary, 4
M45A1, Secondary, N/A
M44, Secondary, N/A
GGH-22, Secondary, 5
M357 Trait, Secondary, N/A
VZ. 61, Secondary, 14
