Date,Type,Name,Rarity,Condition,StatTrack,Current Price
2013-08-19,Skin,MAG-7 Sand Dune,Consumer Grade,Field-Tested,No,£0.27
2013-08-24,Crate,CS:GO Weapon Case,,,,£20.61
2013-10-31,Skin,M4A4 Tornado,Industrial Grade,Minimal Wear,No,£4.28
2013-11-17,Crate,CS:GO Weapon Case 2,,,,£2.27
2014-02-26,Crate,Operation Phoenix Weapon Case,,,,£0.39
2014-03-18,Skin,Tec-9 Varicamo,,Minimal Wear,No,
2014-03-18,Crate,CS:GO Weapon Case 3,,,,
2014-03-20,Sticker Capsule,Sticker Capsule 2,,,,
2014-03-25,Crate,Operation Phoenix Weapon Case,,,,£0.39
2014-04-15,Skin,Five-seveN Forest Night,,Minimal Wear,No,
2014-04-15,Crate,eSports Winter Case,,,,
2014-04-18,Crate,Operation Phoenix Weapon Case,,,,£0.39
2014-04-25,Sticker Capsule,Sticker Capsule 2,,,,
2014-04-30,Crate,Winter Offensive Weapon Case,,,,
2014-04-30,Crate,Operation Phoenix Weapon Case,,,,£0.39
2014-05-05,Skin,PP-Bizon Urban Dashed,,Field-Tested,No,
2014-05-05,Crate,eSports Winter Case,,,,
2014-05-08,Crate,Operation Phoenix Weapon Case,,,,£0.39
2014-05-08,Skin,Nova Predator,,Battle-Scarred,No,
2014-05-11,Crate,eSports Winter Case,,,,
2014-05-12,Sticker Capsule,Community Sticker Capsule 1,,,,
2014-05-19,Skin,SSG-08 Blue Spruce,,Well-Worn,No,
2014-05-19,Crate,Operation Phoenix Weapon Case,,,,£0.39
2014-05-22,Crate,Huntsman Weapon Case,,,,
2014-05-28,Sticker Capsule,Sticker Capsule 2,,,,
2014-06-01,Crate,Operation Phoenix Weapon Case,,,,£0.39
2014-06-01,Skin,P90 Sand Spray,,Battle-Scarred,No,
2014-06-05,Crate,eSports Winter Case,,,,
2014-06-09,Crate,Operation Phoenix Weapon Case,,,,£0.39
2014-06-15,Sticker Capsule,Sticker Capsule 2,,,,
2014-06-15,Skin,PP-Bizon Sand Dashed,,Field-Tested,No,
2014-06-28,Crate,Winter Offensive Weapon Case,,,,
2014-07-02,Sticker Capsule,Sticker Capsule 1,,,,
2014-07-03,Skin,MP7 Army Recon,,Field Tested,No,
2014-07-08,Crate,Winter Offsensive Weapon Case,,,,
2014-07-08,Crate,Operation Breakout Weapon Case,,,,
2014-07-08,Skin,UMP-45 Indigo,,Minimal Wear,No,
2019-12-02,Sealed Graffiti,X-Axes (Cash Green),,,,
2020-11-10,Crate,Prisma Case,,,,£0.03
