Manufacturer,Model
Dallara,Formula 3
Aston Martin,DBR9
Audi,R10 TDI
BMW,320si
Chevrolet,Corvette C5-R
Chevrolet,Corvette C6-R
Chevrolet,Camaro Concept
Chevrolet,Lacetti
Courage,C65
Courage,LC70
Creation,CA06/H-JUDD
Dodge,Viper SRT10
Dodge,Challenge Concept
Doran Racing,JE4
FJ,1000
Ford,Mustang GT-R Concept
Ford,Mustang Boss 302
Honda,NSX-R
Jupiter,Eagleray Mk5
Koenigsegg,CCXR
Koenigsegg,CCGT
Lamborghini,Murcielago RGT
Lola,B05/40
Lola,B06/10
Mazda,787B
Mazda,RX-7 FD3S
Mopar Dodge,Charger SRT8 Drift
Nissan,350Z
Nissan,Silvia
Nissan,Skyline GT-R Z-Tune
Nissan,R390 GT-1
Pagani,Zonda R
Panoz,Esperante
Plymouth,AAR 'Cuda
Pontiac,GTO
Porsche,911 GT3 RSR
Saleen,S7R
Spyker,C8 Spyder
Subaru,Impreza
Toyota,Supra
Toyota,Corolla GT-S (AE86)
Toyota,Soarer (JZZ30)
TVR,Tuscan Challenge
