Date,Challenge 1,Challenge 1 Difficulty,Challenge 2,Challenge 2 Difficulty,Challenge 3,Challenge 3 Difficulty
01/08/2014,Irregular,Medium,Irregular,Easy,Symbol,Easy
02/08/2014,Irregular,Easy,Symbol,Hard,Symbol,Medium
03/08/2014,Symbol,Medium,Irregular,Hard,Symbol,Easy
04/08/2014,Irregular,Easy,Irregular,Easy,Symbol,Medium
05/08/2014,Irregular,Expert,Symbol,Hard,Symbol,Easy
06/08/2014,Irregular,Medium,Irregular,Medium,Symbol,Easy
07/08/2014,Symbol,Easy,Irregular,Easy,Irregular,Medium
08/08/2014,Symbol,Medium,Irregular,Medium,Symbol,Easy
09/08/2014,Irregular,Hard,Irregular,Easy,Symbol,Easy
10/08/2014,Symbol,Expert,Irregular,Easy,Symbol,Hard
11/08/2014,Symbol,Easy,Irregular,Easy,Irregular,Expert
12/08/2014,Symbol,Easy,Symbol,Medium,Irregular,Easy
13/08/2014,Irregular,Easy,Irregular,Easy,Symbol,Medium
14/08/2014,Irregular,Hard,Symbol,Easy,Irregular,Hard
15/08/2014,Symbol,Hard,Irregular,Medium,Symbol,Easy
16/08/2014,Symbol,Medium,Irregular,Medium,Irregular,Easy
17/08/2014,Symbol,Medium,Symbol,Easy,Irregular,Easy
18/08/2014,Irregular,Expert,Symbol,Expert,Symbol,Easy
19/08/2014,Irregular,Easy,Irregular,Medium,Symbol,Medium
20/08/2014,Symbol,Medium,Irregular,Easy,Symbol,Easy
21/08/2014,Symbol,Easy,Irregular,Easy,Symbol,Expert
22/08/2014,Symbol,Hard,Irregular,Medium,Symbol,Easy
23/08/2014,Irregular,Medium,Symbol,Easy,Irregular,Easy
24/08/2014,Symbol,Medium,Irregular,Medium,Irregular,Easy
25/08/2014,Irregular,Medium,Symbol,Easy,Symbol,Medium
26/08/2014,Symbol,Easy,Irregular,Medium,Symbol,Easy
27/08/2014,Irregular,Medium,Irregular,Hard,Symbol,Easy
28/08/2014,Symbol,Easy,Irregular,Hard,Symbol,Hard
29/08/2014,Irregular,Medium,Irregular,Easy,Symbol,Medium
30/08/2014,Symbol,Medium,Irregular,Easy,Irregular,Easy
31/08/2014,Symbol,Easy,Symbol,Medium,Irregular,Easy
