Chapter,Level,Cost,Cycles,Area
1,1 - Refined Gold,60,72,7
1,2 - Face Powder,40,36,7
1,3 - Waterproof Sealant,70,65,12
1,4 - Hangover Cure,100,85,27
1,5 - Airship Fuel,110,111,25
1,6 - Precision Machine Oil,90,82,14
1,7 - Health Tonic,100,68,31
1,8 - Stamina Potion,125,100,36
2,1 - Hair Product,100,127,16
2,2 - Rocket Propellant,165,126,32
2,3 - Mist of Incapacitation,120,48,15
2,4 - Explosive Phial,160,75,25
2,5 - Armor Filament,100,142,23
2,6 - Courage Potion,125,85,21
2,7 - Surrender Flare,180,60,53
3,1 - Alcohol Separation,260,55,40
3,2 - Water Purifier,90,160,25
3,3 - Seal Solvent,210,120,39
3,4 - Climbing Rope Fiber,205,195,59
3,5 - Warming Tonic,170,164,60
3,6 - Life-Sensing Potion,390,126,87
3,7 - Very Dark Thread,200,201,65
4,1 - Litharge Separation,355,128,52
4,2 - Stain Remover,330,177,69
4,3 - Sword Alloy,275,324,69
4,4 - Invisible Ink,320,145,64
4,5 - Purified Gold,320,370,32
4,6 - Alchemical Jewel,,,
4,7 - Golden Thread,,,
