Base, Name, Rarity, PHYS, ENGY, EM, Thermal, Airbourne, Corrosive, Radiation, Mass, Value, Description
Navigator Skip Pack, Anti-Ballistic Refined Navigator Skip Pack, Rare, 50, 34, 42, 5, 5, 20, 0, 7.50, 174, "Anti-Ballistic: -15% incoming Physical damage from ranged weapons. Skip Capacity Boostpack."
Constellation Pack, Contellation Pack, Common, 39, 23, 31, 20, 0, 10, 0, 6.5, 335, "Basic Boostpack."
Deepseeker Pack, Deepseeker Pack, Common, 41, 33, 37, 5, 5, 20, 0, 6.30, 340, "Basic Boostpack."
Deep Mining Pack, O2 Boosted Deep Mining Pack, Rare, 34, 18, 26, 0, 20, 10, 0, 6.10, 112, "O2 Boosted: +20% oxygen capacity. Basic Boostpack."
Deep Mining Power Pack, Veteran's Calibrated Deep Mining Power Pack, Rare, 42, 26, 34, 0, 20, 10, 0, 6.10, 1119, "Combat Veteran: -15% damage from Human enemies. Power Boostpack"
Deep Recon Power Pack, Deep Recon Power Pack, Common, 30, 38, 34, 10, 0, 20, 0, 6.30, 2280, "Power Boostpack"
Deimos Pack, Deimos Pack, Common, 28, 26, 30, 5, 20, 0, 5, 6.10, 109, "Basic Boostpack."
High School Backpack, High School Backpack, Common, 28, 30, 32, 10, 10, 10, 10, 4.80, 803, "Extra Capacity."
Pirate Raiding Pack, Pirate Raiding Pack, Common, 28, 26, 30, 0, 10, 0, 20, 6.30, , "Basic Boostpack."
Pirate Survival Skip Pack, Refined Pirate Survival Skip Pack, Common, 42, 44, 46, 5, 0, 20, 5, 6.30, 2812, "Skip Capacity Boostpack."
Space Trucker Balanced Pack, O2 Boosted Calibrated Space Trucker Balanced Pack, Rare, 30, 38, 34, 10, 0, 0, 20, 6.30, 144, "O2 Boosted: +20% oxygen capacity. Balanced Boostpack."
Space Trucker Skip Pack, Calibrated Space Trucker Skip Pack, Common, 30, 38, 34, 10, 0, 0, 20, 6.30, 1125, "Skip Capacity Boostpack"
Star Roamer Power Pack, Calibrated Star Roamer Power Pack, Common, 30, 38, 34, 10, 0, 0, 20, 6.30, 1125, "Power Boostpack"
Va'Ruun Pack, Calibrated Va'Ruun Pack, Common, 42, 40, 44, 10, 10, 10, 10, 9.70, , "Basic Boostpack"
Va'Ruun Power Pack, Va'Ruun Power Pack, Common, 34, 32, 36, 10, 10, 10, 10, 9.70, , "Power Boostpack"
Va'Ruun Power Pack, Calibrated Va'Ruun Power Pack, Common, 42, 40, 44, 10, 10, 10, 10, 9.70, , "Power Boostpack"
