Name, Type
Abandoned Fuel Depot, Structure
Abandoned Hanger, Structure
Abandoned Industrial Compound, Structure
Abandoned Muybridge Pharmaceuticals Lab, Structure
Abandoned Research Tower, Structure
Cave,
Civilian Outpost, Structure
Coralline Mineral Pond, Natural
Covered Crater, Natural
Crystalline Pools, Natural
Deserted Ecliptic Garrison, Structure
Deserted Mineral Plant, Structure
Deserted Robotics Lab, Structure
Deserted UC Listening Post, Structure
Fracking Station, Structure
Fumarole Field, Natural
Fungal Grotto, Natural
Glacial Remnant, Natural
Hive Structures, Natural
Hot Spring Terraces, Natural
Industrial Outpost, Structure
Industrial Rig, Structure
Lone Hab, Structure
Microbial Community, Natural
Pipeline Substation, Structure
Science Outpost, Structure
Ship Landing Site, Structure
Solar Farm, Structure
Spaceship Debris, Structure
Storage Site, Structure
Storm Crater, Natural
Unusual Growths, Natural
