Name, Effect
Anti-Personnel, +10% damage against humans.
Bashing, Deals double damage when gun bashing.
Beserker, Does more damage the less armour one has.
Disassembler, +20% damage against robots.
Extended Magazine, Doubles the base magazine capacity.
Exterminator, +30% damage against aliens.
Hitman, +15% damage while aiming.
Instigating, Deals double damage to targets with full health.
Lacerate, Randomly applies a bleed effect to the target.
Space-Adept, "+30% damage while in space, and -15% damage while on a planet."
Staggering, Small chance to stagger enemies.
