Base Weapon, Name, Rarity, Type, Damage, Ammo, Mag, Fire Rate, Range, Accuracy, Mass, Value, Mods, Description
AA-99, Marksman's AA-99, Rare, Rifle, 31 PHYS, 11MM, 25, 40, 42, 81.7%, 7.25, 27884, 7/8, "Hitman: +15% damage while aiming. Stabilizing Barrel, Short Scope, Suppressor, Ergonomic Stock, Tactical Magazine, High Velocity, Semi-Automatic."
Barrow Knife, Lacerate Barrow Knife, Epic, Melee, 28 PHYS, , , , , , 0.34, 2562, , "Exterminator: +30% damage against aliens. Lacerate: Randomly applies a bleed effect to the target."
Coachman, Coachman, Common, Shotgun, 52 PHYS, Caseless Shell, 2, 47, 20, 38.4%, 3.00, 1650, 0/7,
Coachman, Rapid Coachman, Epic, Shotgun, 57 PHYS, Caseless Shell, 2, 58, 20, 38.4%, 3.00, 3465, 0/7, "Anti-Personnel: +10% damage against humans. Rapid: +25% increase in attack speed."
Coachman, Suppressed Coachman, Common, Shotgun, 68 PHYS, Caseless Shell, 2, 47, 37, 56.5%, 3.50, 3052, 2/7, "Suppressor, Slug Shots"
Combat Knife, Combat Knife, Common, Melee, 20 PHYS, , , , , , 0.36, 505, ,
Cutter, Cutter, Common, Heavy, 4 ENGY, CUTTER, --, 76, 3, 76.7%, 4.00, 475, 0/0,
Eon, Eon, Common, Pistol, 10 PHYS, 7.77MM, 12, 50, 20, 67.5%, 0.55, 750, 0/6,
Eon, Calibrated Eon, Common, Pistol, 23 PHYS, 7.77MM, 12, 50, 19, 68.1%, 0.55, 2437, 0/6,
Equinox, Equinox, Common, Laser Rifle, 13 ENGY, 3KV LZR, 20, 50, 50, 70.2%, 3.20, 2408, 0/7,
Grendel, Grendel, Common, Rifle, 3 PHYS, 7.77MM, 50, 170, 20, 66.2%, 2.65, 1402, 0/8,
Grendel, Suppressed Grendel, Common, Rifle, 3 PHYS, 7.77MM, 50, 170, 17, 69.9%, 2.70, 2103, 2/8, "Suppressor, Tactical Grip."
Grendel, Calibrated Grendel, Common, Rifle, 5 PHYS, 7.77MM, 50, 170, 21, 66.9%, 2.65, 1720, 0/8,
Grendel, Bashing Smuggler's Calibrated Grendel, Rare, Rifle, 6 PHYS, 7.77MM, 50, 170, 19, 67.6%, 2.65, 3695, 3/8, "Bashing: Deals double damage when gun bashing. Short Barrel, Recon Laser Sight, Reflex Sight."
Kraken, Anti-Personnel Kraken, Rare, Pistol, 3 PHYS, 6.5MM, 25, 150, 20, 69.6%, 1.00, 1088, 0/6, Anti-Personnel: +10% damage against humans.
