Level,Level Name,High Score,High Crates,Rating
1,Boot Camp,330,1,3
2,Out of the frying pan…,730,1,3
3,On your marks. Get set. Toast!,820,3,3
4,"Hot pot, skip and a jump",350,1,1
5,Going for gold!,1365,N/A,3
6,Over mill and under mill,6325,5,3
7,Scone Henge,6210,4,3
8,More tea vicar?,5870,5,2
9,Steps of woe,9120,6,3
10,The Breakfast Club,3250,3,2
11,Integral Cerealism,17320,5,3
12,Toast Busters,4630,6,3
13,Cheap as chips,4110,4,2
14,Keep it on the down low,N/A,N/A,0
15,Self-raising power,N/A,N/A,0
16,Clock and balls,N/A,N/A,0
17,Too orangey for crows,N/A,N/A,0
18,Hello is it tea you're looking for,N/A,N/A,0
19,Rabid fan base,N/A,N/A,0
20,Fannying around,N/A,N/A,0
21,You snooze you lose,N/A,N/A,0
22,One lump or two?,N/A,N/A,0
23,"Our Stevie, more toast?",N/A,N/A,0
24,Drop it like it's hot,N/A,N/A,0
25,Cosmos cheese on toast,N/A,N/A,0
26,Crosshair in my soup,N/A,N/A,0
