Stage,Training Time,Official Time,Medal
A01,00:28.79,,Gold
A02,00:25.68,,Gold
A03,00:19.05,,Gold
A04,00:24.97,,Gold
A05,00:59.79,,Gold
A06,00:25.73,,Silver
A07,00:30.63,,Gold
A08,00:21.69,,Gold
A09,00:33.40,,Silver
A10,01:37.26,,Gold
A11,00:27.86,,Gold
A12,00:34.61,,Gold
A13,00:20.43,,Gold
A14,00:33.58,,Silver
A15,02:01.23,,Silver
B01,0:34.11,,Gold
B02,0:39.44,,Silver
B03,00:30.46,,Silver
B04,00:35.42,,Gold
B05,02:37.76,,Silver
B06,00:39.27,,Silver
B07,00:38.06,,Silver
B08,00:41.88,,Silver
B09,00:36.86,,Silver
B10,01:12.18,,Gold
B11,00:40.95,,Silver
B12,,,
B13,,,
B14,,,
B15,,,
C01,,,
C02,,,
C03,,,
C04,,,
C05,,,
C06,,,
C07,,,
C08,,,
C09,,,
C10,,,
C11,,,
C12,,,
C13,,,
C14,,,
C15,,,
D01,01:19.50,,Silver
D02,,,
D03,,,
D04,,,
D05,,,
D06,,,
D07,,,
D08,,,
D09,,,
D10,,,
D11,,,
D12,,,
D13,,,
D14,,,
D15,,,
E01,,,
E02,,,
E03,,,
E04,,,
E05,,,
