Gun,Mode,Date,Time,Accel,High Score
Colt 1911,Normal,13/05/2015,04:08:46,,88145
Colt 1911,Normal,13/05/2015,04:48:39,,83025
Colt 1911,Normal,13/05/2015,05:10:68,,80168
Colt 1911,Normal,10/05/2015,06:09:08,,72681
Colt 1911,Super,14/05/2015,03:09:14,62%,191502
Colt 1911,Super,13/05/2015,04:03:68,50%,88758
Colt 1911,Hardcore,15/05/2015,02:14:97,,205390
Colt 1912,Hardcore,15/05/2015,02:50:60,,196254
Colt 1913,Hardcore,13/05/2015,03:06:82,,192254
Colt 1914,Hardcore,15/05/2015,02:12:60,,102999
Colt 1915,Hardcore,17/05/2015,02:13:22,,102920
Colt 1916,Hardcore,16/05/2015,02:14:92,,102701
Colt 1917,Hardcore,17/05/2015,02:25:91,,101292
Colt 1918,Hardcore,21/06/2015,02:50:93,,98084
Colt 1919,Hardcore,14/05/2015,02:55:80,,97460
Colt 1920,Hardcore,13/05/2015,02:55:92,,97444
HK MP5,Normal,13/05/2015,09:09:71,,67645
Intratec Tec-9,Normal,15/05/2015,03:10:28,,83754
AK-47,Normal,10/05/2015,12:00:61,,69957
Beretta 92 FS,Normal,16/05/2015,06:02:36,,83397
