Manufacturer,Model,Year,Drivetrain,Max Power (BHP/rpm),Max Torque (ft-lb/rpm),Weight (kg),Cr.
Acura,NSX,1991,MR,270/7100,209.75/5300,1365,"80,000"
Alfa Romeo,147 TI 2.0 Twin Spark,2006,FF,147/6300,133.08/3800,1280,"31,400"
Alfa Romeo,Brera Sky Window 3.2 JTS Q4,2006,4WD,256/6300,237.23/4500,1750,"64,900"
Aston Martin,DB9 Coupe,2006,FR,449/6000,420.23/5000,1710,"181,860"
Audi,R8 4.2 FSI R tronic,2007,4WD,414/7800,317.52/4500-6000,1560,"166,700"
Audi,TT Coupe 3.2 quattro,2007,4WD,246/6300,235.79/2500-3000,1410,"65,400"
BMW,Z4,2003,FR,227/5900,221.32/3500,1365,"38,600"
BMW,135i Coupe,2007,FR,301/5800,295.10/1300-1500,1560,"64,300"
BMW,M3 Coupe,2007,FR,414/8300,295.24/3900,1655,"92,400"
BMW,Concept 1 Series tii,2007,FR,---/---,---/---,---,--
Chevrolet,Corvette Z06,2006,FR,503/6300,469.41/4800,1421,"94,500"
Citroen,Citroen C4 Coupe,2005,FF,177/7000,151.89/4750,1330,"31,900"
Citroen,GT by Citroen,2008,N/A,778/---,---/---,1400,"1,000,000"
Daihatsu,Copen Active Top,2002,FF,63/6000,81.00/3200,830,"15,000"
Daihatsu,OFC-1,2007,FF,63/6000,75.94/3000,820,--
Dodge,Viper GTS,2002,FR,449/5200,489.66/3700,1569,"90,400"
Dodge,Viper SRT10 Coupe,2006,FR,509/5600,534.94/4200,1565,"99,770"
Ferrari,599,2006,FR,611/7600,448.43/5600,1580,"320,300"
Ferrari,F430,2006,MR,483/8500,342.83/5250,1450,"243,200"
Ferrari,F40,1992,MR,478/700,425.29/4000,1100,"450,000"
Ferrari,512BB,1976,MR,355/6800,332.71/4600,1400,"102,500"
Ferrari,California,,---,453/7500,355.13/---,---,"300,000"
Ferrari,F2007,2007,---,---/---,---/---,---,"2,000,000"
Ford,Mustang GT,2007,FR,299/5750,319.69/4500,1630,"48,500"
Ford,GT,2006,MR,550/6500,500.01/3750,---,"149,880"
Ford,Focus ST,2006,FF,221/6000,235.79/4000,1430,"32,000"
Honda,Integra Type R,2004,FF,216/8000,151.89/7000,1180,"27,300"
Honda,NSX Type R,2002,MR,276/7300,224.21/5300,1270,"119,570"
Jaguar,XK Coupe Luxury,2006,FR,299/6000,310.29/4100,1690,"113,000"
Lancia,Delta HF integrale Evoluzione,1991,4WD,207/5750,224.21/3500,1350,"54,500"
Lexus,IS F,2007,FR,417/6600,372.49/5200,1690,"76,600"
Lotus,Elise 111R,2004,MR,189/7800,133.51/6800,860,"54,400"
Lotus,Elise,1996,MR,118/5500,121.51/3000,755,"37,600"
Lotus,Evora,,MR,276/6400,---/---,---,"100,000"
Mazda,Atenza Sport 25Z,2007,FF,167/6000,167.08/4000,1470,"26,200"
Mazda,RX-7 Spirit R Type A,2002,FR,276/6500,231.45/5000,1270,"40,000"
Mazda,RX-8 Type S,2007,FR,246/8500,159.12/5500,1310,"28,980"
Mercedes-Benz,SL 55 AMG,2002,FR,493/6100,516.42/2750-4000,1970,"125,000"
Mini,Cooper-S,2006,FF,167/6000,162.37/4000,1180,"28,500"
Mitsubishi,Lancer Evolution IX GSR,2005,4WD,276/6500,295.10/3000,1410,"35,700"
