ID,Manufacturer,Model,Year,Premium/Standard,Level,PP,Displacement,Max Power (BHP/rpm),Max Torque (kgfm/rpm),Drivetrain,Length (mm),Width (mm),Height (mm),Weight (kg),Cr.
1,AC Cars,427 S/C,1966,S,,,,,,,,,,,
2,Acura,CL 3.2 Type-S,2001,S,,,,,,,,,,,
3,Acura,CL 3.2 Type-S,2003,S,,,,,,,,,,,
4,Acura,DN-X Concept,2002,S,,,,,,,,,,,
5,Acura,HSC Concept,2004,S,,,,,,,,,,,
6,Acura,INTEGRA TYPE R,2001,S,,,,,,,,,,,
7,Acura,NSX,1991,P/S,,433,2977,170/7100,29.00/5300,MR,4405,1810,1170,1365,"80,000"
8,Acura,NSX RM,1991,P,,,,,,,,,,,
9,Acura,NSX,2004,S,,,,,,,,,,,
10,Acura,NSX Coupe,1997,S,,,,,,,,,,,
11,Acura,RSX Type-S,2004,S,,,,,,,,,,,
12,AEM,S2000,,P,,,,,,,,,,,
13,Alfa Romeo,147 2.0 TWIN SPARK,2002,S,,,,,,,,,,,
14,Alfa Romeo,147 GTA,2002,S,,,,,,,,,,,
15,Alfa Romeo,147 TI 2.0 TWIN SPARK,2006,P,1,358,1969,147/6300,18.49/3800,FF,4225,1730,1435,1280,"31,400"
16,Alfa Romeo,155 2.5 V6 TI,1993,S,,,,,,,,,,,
17,Alfa Romeo,156 2.5 V6 24V,1998,S,,,,,,,,,,,
18,Alfa Romeo,166 2.5 V6 24V Sportronic,1998,S,,,,,,,,,,,
19,Alfa Romeo,8C Competizione,2008,P,9,500,4691,443/7000,49.00/4750,FR,4381,1894,1341,1585,"220,000"
20,Alfa Romeo,Brera Sky Window 3.2 JTS Q4,2006,P,2,409,3195,256/6300,32.80/4500,4WD,4415,1830,1380,1750,"64,900"
21,Alfa Romeo,Giulia Sprint GTA 1600,1965,S,,,,,,,,,,,
22,Alfa Romeo,Giulia Sprint Speciale,1963,S,,,,,,,,,,,
23,Alfa Romeo,GIULIA TZ2 carrozzata da ZAGATO CN.AR750106,1965,P,11,494,1570,169/7500,---,FR,3680,1600,1020,620,"10,000,000"
24,Alfa Romeo,GT 3.2 V6 24V,2004,S,,,,,,,,,,,
25,Alfa Romeo,GTV 3.0 V6 24V,2001,S,,,,,,,,,,,
26,Alfa Romeo,Spider 3.0i V6 24V,2001,S,,,,,,,,,,,
27,Alfa Romeo,Spider 1600 Dueto,1966,S,,,,,,,,,,,
28,Alpine,A110 1600S,1973,S,,,,,,,,,,,
