Track,Car,Time,Date of Race,Time of Race
High Speed Ring,Gran Turismo Formula Gran Turismo,0:50.846,31/07/2011,12:17:44
High Speed Ring,Pagani Zonda R '09,0:58.902,16/02/2011,03:44:22
High Speed Ring,Jaguar XJR-9 LM Race Car '88,0:59.860,27/01/2012,13:45:11
High Speed Ring,Ford Mark IV Race Car '67,1:04.151,08/07/2013,21:51:19
High Speed Ring,Ferrari 430 Scuderia '07,1:06.655,08/07/2013,22:05:42
High Speed Ring,Nissan GT-R Black edition Tuned Car (GT Academy) '12,1:07.993,21/01/2013,12:38:55
High Speed Ring,Lotus Elise 111R RM '04,1:09.260,08/07/2013,22:26:39
High Speed Ring,Nissan FALKEN*GT-R Race Car '04,1:09.356,18/06/2011,11:50:18
High Speed Ring,Chevrolet Corvette ZR1 (C6) RM '09,1:10.433,16/02/2011,03:56:05
High Speed Ring,Chevrolet 2014 Corvette Stingray Final Prototype,1:14.313,21/01/2013,13:06:28
London,Lamborghini Gallardo LP560-4 '08,0:52.189,07/07/2019,11:30:10
London,Subaru CUSCO SUBARU ADVAN IMPREZA...,0:54.136,07/01/2011,03:52:38
London,Bugatti Veyron 16.3 '09,0:54.344,21/02/2011,02:59:44
London,Lamborghini Aventador LP 700-4 '11,0:58:636,27/01/2012,13:23:59
London,Honda S2000 '06,1:08.185,12/12/2010,13:26:03
Suzuka,Chevrolet 2014 Corvette Stingray Final Prototype,2:27.171,07/07/2019,11:56:35
Suzuka,Volkswagen 1200 '66,3:40.230,07/07/2019,11:43:17
Trial Mountain,Honda S2000 '06,1:48.487,16/02/2011,03:49:52
