Manufacturer,Model,Year,Cr.,PP,km,Level
Mini,Mini Cooper,2002,17305,335,44025,0
Nissan,Micra,2003,9077,323,34219,0
Nissan,R390 GT1 Race Car,1998,2924500,683,5030,23
Hyundai,Clix Concept ,2001,64954,458,145,6
Audi,RS 4,2001,37602,464,18258,7
Honda ,Insight ,1999,20563,332,4161,0
Aston Martin,DB9 Coupe,2003,145193,497,23441,9
Aston Martin,DB7 Vantage Coupe,2000,183966,479,10598,8
Chevrolet,Camaro Z28 Coupe,1997,17784,434,52473,4
Peugeot,206 Rally Car,1999,299682,497,212,11
Mazda,Lantis Coupe 2000 Type R,1993,15674,373,42632,0
Lexus,SC 430 (US),2001,51395,420,28684,3
Mercedes-Benz,SL 500 (R129),1998,156025,431,14355,4
Lexus,SC 300,1997,30862,422,23648,3
Mazda,Atenza Touring Car,,93920,490,2273,10
Mitsubishi,GTO SR,1996,16477,390,90081,1
Blitz,ER34 D1 Spec,2004,199963,563,37,16
Honda ,S2000 (US),2001,26211,420,47167,3
Amuse,S2000 GT1,2004,248465,577,1228,16
Nissan,Fairlady Z 300ZX Ver.S TT 2seater (Z32),1998,36881,431,15132,4
Nissan,Cube EX (FF/CVT) ,2002,11417,305,41647,0
Honda ,Element,2003,25613,338,2219,0
Dodge,Ram 1500 Laramie Heni Quad Cab,2004,36832,408,5789,2
Citroen,Xantia 3.0i V6 Exclusive,2000,26813,376,23423,0
Mazda,éfini RX-7 Type RZ (FD) ,1993,23667,423,91185,3
Toyota,Castrol Tom's Supra,2001,734145,584,4228,18
Subaru,Legacy Touring Wagon 2.0GT,2003,23169,432,39103,4
Lamborghini,Countach 25th Anniversary,1988,104736,499,84905,10
Honda ,S2000 (US),2001,32116,423,12737,3
Mazda,"MX-5 Miata SR-Limited (NA, J)",1997,13535,354,57381,0
Toyota,Supra SZ-R,1997,26705,403,42911,2
Toyota,MR2 GT-S,1997,15716,426,84142,4
Nissan,EXA Canopy L.A. Version Type S,1988,12383,332,32790,0
Mazda,"MX-5 1800 RS (NB, J)",2000,20151,375,26885,0
Mitsubishi,Lancer Evolution II GSR,1994,17335,423,80363,3
Nissan,Silvia spec-R Aero (S15),1999,18118,426,24951,3
Honda ,S800 RSC Race Car,1968,240769,378,7385,1
Mazda,"RX-7 Type RZ (FD, J)",1992,39328,438,4093,4
Honda ,Accord Euro-R,2000,18840,397,51245,1
Lotus,Elise Sport 190,1998,44470,475,63734,8
Acura,RSX Type-S,2004,20462,394,34587,1
Honda ,Prelude Type S,1998,17664,391,58292,1
Nissan,Skyline Sedan 350GT-8,2002,34688,423,10450,2
Mazda,Eunos Roadster V-Special II (NA),1993,23509,361,4091,0
Mazda,"MX-5 1800 RS (NB, J)",2004,20621,375,24503,0
Audi,A3 3.2 quattro ,2003,35995,416,30570,2
Holden,Monaro CV8,2004,46045,457,7984,6
Nissan,Skyline GT-R V-spec LM Limited (R33),1996,30179,447,88017,6
