Manufacturer,Model,Year
Abarth,500 Assetto Corse,2008
Abarth,500 EsseEsse,2008
Abarth,500 EsseEsse Step1,2008
Abarth,595 SS,1964
Abarth,595 SS Step1,1964
Abarth,595 SS Step2,1964
Alfa Romeo,155 Ti V6 DTM,1993
Alfa Romeo,4C,2013
Alfa Romeo,Giulia GTA 1600 Corsa,1965
Alfa Romeo,Giulietta QV,2010
Alfa Romeo,Giulietta QV Launch Edition,2014
Alfa Romeo,Mito QV,2009
Audi,R8 LMS Ultra,2012
Audi,R8 V10 Plus 5.2 FSI quattro,2012
Audi,S1 quattro,2015
Audi,Sport quattro,1984
Audi,Sport quattro Step1,1984
BMW,1 Series M Coupe,2011
BMW,1 Series M Coupe Stage3,2011
BMW,M235i Racing,2014
BMW,M3 E30 Group A,1991
BMW,M3 E30 Group A DTM,1992
BMW,M3 E30 Sports Evolution,1990
BMW,M3 E30 Sports Evolution Drift,1990
BMW,M3 E30 Sports Evolution Step1,1990
BMW,M3 E92,2007
BMW,M3 E92 Drift,2007
BMW,M3 E92 GT2,2010
BMW,M3 E92 Step1,2007
BMW,M4 Coupe,2014
BMW,Z4 E89,2009
BMW,Z4 E89 Drift,2009
BMW,Z4 E89 Step1,2009
BMW,Z4 GT3,2010
Chevrolet,Corvette C7 Stingray,2014
Chevrolet,Corvette C7.R,2014
Classic Team Lotus,72D,1972
Classic Team Lotus,98T,1985
Classic Team Lotus,Type 25,1965
Classic Team Lotus,Type 49,1967
Ferrari,312T,1975
Ferrari,458 GT2,2011
Ferrari,458 Italia,2009
Ferrari,458 Italia Stage3,2009
Ferrari,488 GT3,2016
Ferrari,488 GTB,2015
Ferrari,599XX Evoluzione,2011
Ferrari,F138,2013
Ferrari,F40,1987
Ferrari,F40 Stage3,1987
Ferrari,FXX-K,2015
Ferrari,LaFerrari,2013
Ferrari,SF15-T,2015
Ford,Escort RS1600 Mk1,1968
Ford,GT40,1966
Ford,Mustang GT,2015
KTM,X-Bow R,2011
Lamborghini,Aventador LP 750-4 SV,2015
Lamborghini,Countach,1974
Lamborghini,Countach Step1,1974
Lamborghini,Gallardo Superleggera,2007
Lamborghini,Huracan GT3,2015
Lamborghini,Huracan Super Trofeo,2015
Lamborghini,Miura P400 SV,1971
Lotus,2-Eleven,2007
Lotus,2-Eleven GT4,2009
Lotus,Elise SC,2008
Lotus,Elise SC Step1,2008
Lotus,Elise SC Step2,2008
Lotus,Evora GTC,2012
Lotus,Evora GTE,2012
Lotus,Evora GTE Carbon Edition,2012
Lotus,Evora GX,2013
Lotus,Evora S,2010
Lotus,Evora S Stage2,2010
Lotus,Exige 240R,2005
Lotus,Exige 240R Stage3,2005
Lotus,Exige S,2006
Lotus,Exige S Roadster,2013
Lotus,Exige Scura,2009
Lotus,Exige V6 Cup,2013
Lotus,Exos T125,2010
Lotus,Exos T125 Stage1,2010
Maserati,250F I6,1954
Maserati,250F V12,1956
Maserati,GranTurismo MC GT4,2016
Maserati,Levante S,2016
Mazda,MX-5 (ND),2016
Mazda,MX-5 Cup,2016
Mazda,RX-7 Spirit R (Type A),2002
Mazda,RX-7 Spirit R (Type A) Tuned,2002
McLaren,650S GT3,2016
McLaren,F1 GTR,1996
McLaren,MP4-12C,2011
McLaren,MP4-12C GT3,2013
McLaren,P1,2013
Mercedes-Benz,190 E 2.5-16 Evolution II DTM,1990
Mercedes-Benz,AMG GT3,2016
Mercedes-Benz,Sauber C9 LM,1989
Mercedes-Benz,SLS AMG,2010
Mercedes-Benz,SLS AMG GT3,2010
Nissan,370Z NISMO,2015
Nissan,GT-R NISMO,2015
Nissan,GT-R NISMO GT3,2012
Nissan,Skyline GT-R (R34) V-Spec,1999
Pagani,Huayra,2012
Pagani,Zonda R,2007
Porsche,718 Boxster S (manual-6),2016
Porsche,718 Boxster S (PDK-7),2016
Porsche,718 Cayman S,2017
Porsche,718 RS 60 Spyder,1960
Porsche,908 LH,1969
Porsche,911 Carrera RSR 3.0,1974
Porsche,911 Carrera S,2011
Porsche,911 GT1-98,1998
Porsche,911 GT3 Cup 2017,2017
Porsche,911 GT3 R 2016,2016
Porsche,911 GT3 RS (991),2016
Porsche,911 R (991.1),2016
Porsche,911 Turbo S (991.2),2015
Porsche,"917/30 ""Can-Am"" Spyder",1973
Porsche,917K,1970
Porsche,918 Spyder,2013
Porsche,919 Hybrid 2015,2015
Porsche,919 Hybrid 2016,2016
Porsche,"935/78 ""Moby Dick""",1978
Porsche,962C Long Tail,1985
Porsche,962C Short Tail,1985
Porsche,Cayenne Turbo S,2015
Porsche,Cayman GT4 (manual-6),2015
Porsche,Cayman GT4 Clubsport (PDK-6),2015
Porsche,Macan Turbo,2014
Porsche,Panamera Turbo,2017
Praga,R1,2013
RUF,CTR Yellowbird,1987
RUF,RT12 R (AWD),2012
RUF,RT12 R (RWD),2012
SCG,003C,2015
SCG,P4/5 Competizione,2011
Shelby,AC Cobra 427 S/C,1965
Tatuus,FA010,2010
Toyota,GT86,2012
Toyota,Sprinter Trueno (AE86),1983
Toyota,Sprinter Trueno (AE86) Drift,1983
Toyota,Sprinter Trueno (AE86) Tuned,1983
Toyota,Supra (A80),1993
Toyota,Supra (A80) Drift,1993
Toyota,Supra (A80) Time Attack,1993
