Name,Type,Rarity,Description,Unlock
Fatal Attraction,Calling Card,Legendary,,Bundle - Arachnid
Affrodisiac,Calling Card,Epic,,Bundle - Blunt Force
Catching Air,Calling Card,Epic,,Bundle - Battle Hardened
Cya,Calling Card,Epic,,Bundle - Akimbo Pack: Anime
Desert Wraith,Calling Card,Epic,,Bundle - Akimbo Pack: Dark Damascus
Freedom Fighters,Calling Card,Epic,,Bundle - Lone Marauder
I Shot First,Calling Card,Epic,,Bundle - Caliber Conversion Pack: .41 Action Express
Insatiable,Calling Card,Epic,,Bundle - Deathbringer
Master Fisher,Calling Card,Epic,,Bundle - Bird of Prey
Nocturnal Predator,Calling Card,Epic,,Bundle - Nightstalker
Party Favors,Calling Card,Epic,,Bundle - FNG
Point Taken,Calling Card,Epic,,Bundle - Cloak and Dagger
Ruthless,Calling Card,Epic,,Bundle - Brutalizer Pack: Bare Metal
Silent Night,Calling Card,Epic,,Bundle - Covert Operations
Skull Splitter,Calling Card,Epic,,Bundle - Battle-Ready
Successful Hunt,Calling Card,Epic,,Bundle - Wolf Pack
Uplinked,Calling Card,Epic,,Bundle - Tracer Pack: Green
Bright Future,Calling Card,Rare,,Bundle - Blue Steele
Burrowing Behemoth,Calling Card,Rare,,Bundle - Diamond Days
Chimera Graffiti,Calling Card,Rare,,Bundle - Chimera Pack
Colossal Take Down,Calling Card,Rare,,Bundle - Caliber Conversion Pack: Dragon's Breath
Desolate Despair,Calling Card,Rare,,Bundle - Matte Black
Diplomacy,Calling Card,Rare,,Bundle - British Metal
Drainage,Calling Card,Rare,,Bundle - Cleanup Crew
Ice Myths,Calling Card,Rare,,Bundle - Cold Blood
In The Grid,Calling Card,Rare,,Bundle - Organic Circuitry
Modern Woodland,Calling Card,Rare,,Bundle - Emerald Ranger
Rat Race,Calling Card,Rare,,Bundle - Geometric
Wrong Angel,Calling Card,Rare,,Bundle - Asanbosam
Redemption,Calling Card,Common,,Mission - MP - 3 Win(s) in Team Deathmatch.
Wise Raptor,Calling Card,Common,,Mission - WZ - Earn top 15 placement with your team 3 time(s).
Nature Provides,Calling Card,,,Playstation - PS Plus Combat Pack Season 03
Folktale,Charm,Legendary,,Bundle - Asanbosam
Night Light,Charm,Legendary,,
Ancient Royal,Charm,Epic,,Bundle - Executive Armory IV
Bear Trap,Charm,Epic,,Playstation - PS Plus Combat Pack Season 03
Dream Catchin,Charm,Epic,,
English Breakfast,Charm,Epic,,Bundle - British Metal
Gas This!,Charm,Epic,,Season 1 - Tier 97
Gilded Afterlife,Charm,Epic,,Bundle - Executive Armory V
Helpful Doge,Charm,Epic,,
Jabberwock,Charm,Epic,,Bundle - Caliber Conversion Pack: Dragon's Breath
Leprechaun,Charm,Epic,,Bundle - Tracer Pack: Green
Lethal Tender,Charm,Epic,,Season 2 - Tier 84
Love Bomb,Charm,Epic,,Bundle - Tracer Pack: Anime
Loyal Specter,Charm,Epic,,Bundle - Akimbo Pack: Dark Damascus
Making Bank,Charm,Epic,,
Orizuru,Charm,Epic,,Bundle - Akimbo Pack: Anime
Shredded,Charm,Epic,,
Skull Comms,Charm,Epic,,Season 2 - Tier 97
Star of Night,Charm,Epic,,Bundle - Sakura Edition
Supreme Slice,Charm,Epic,,
Time Piece,Charm,Epic,,
9 Lives,Charm,Rare,,
Air Power,Charm,Rare,,
Alley Cat,Charm,Rare,,Bundle - Nightstalker
An Odd Name,Charm,Rare,,Bundle - FNG
Armor On,Charm,Rare,,Bundle - Battle Hardened
Bestfriend,Charm,Rare,,Bundle - Alpha Dog
