Date,Rank,Time,Games,Wins,Losses,Win/Loss Ratio,K/D Ratio,Score Per Minute,Highest Killstreak,Weapon of Choice,Kills with Weapon of Choice
25/03/2020 09:31,51,00:04:38,34,19,9,2.11,0.93,217,8,725,92
25/03/2020 13:59,51,00:05:00,36,20,10,2.00,0.91,215,8,MP5,102
27/03/2020 13:32,57,00:07:59,57,34,17,2.00,0.96,236,10,MP5,207
29/03/2020 10:20,61,00:10:11,70,43,21,2.05,0.97,235,10,MP5,307
29/03/2020 11:38,63,00:11:03,76,45,25,1.80,0.95,229,10,MP5,348
30/03/2020 00:04,65,00:12:04,83,49,28,1.75,0.94,224,10,MP5,353
30/03/2020 09:32,66,00:12:29,85,50,29,1.72,0.94,221,10,MP5,360
31/03/2020 00:10,67,00:13:03,89,52,30,1.73,0.95,222,10,MP5,380
31/03/2020 23:29,69,00:13:57,94,55,32,1.72,0.95,229,10,MP5,433
01/04/2020 09:32,70,00:14:37,97,56,34,1.65,0.94,226,10,MP5,435
01/04/2020 13:22,70,00:14:59,100,59,34,1.74,0.94,225,10,MP5,448
02/04/2020 09:27,72,00:15:57,105,60,38,1.58,0.92,223,10,MP5,453
