Name,Rarity
Arcadia Class Jumpship,Common
Kestrel Class AX,Common
Kestrel Class AX0,Common
Kestrel Class CX,Common
Kestrel Class CX0,Common
Kestrel Class EX,Common
Phaeton Class V1,Common
Phaeton Class V1.1,Common
Phaeton Class V2,Common
Phaeton Class V3,Common
Phaeton Class V3.1,Common
Regulus Class 22A,Common
Regulus Class 44B,Common
Regulus Class 55,Common
Regulus Class 66C,Common
Regulus Class 77,Common
Regulus Class 99,Common
NS66 Cloud Errant,Uncommon
LRV1 Javelin,Uncommon
LRV2 Javelin,Uncommon
LRV3 Javelin,Uncommon
AX19 Spindle Demon,Uncommon
CX20 Spindld Demon,Uncommon
EX21 Spindle Demon,Uncommon
NS22 High Water,Rare
AFV2 Octavian,Rare
"""Birth of History""",Legendary
