Start Date,End Date,Name,Type
,16/10/2014 09:00,Kestrel Class CX,Ship
,16/10/2014 09:00,Phaeton Class V2.1,Ship
,16/10/2014 09:00,Regulus Class 22A,Ship
,16/10/2014 09:00,Regulus Class 66C,Ship
,16/10/2014 09:00,Kestrel Class CX0,Ship
,16/10/2014 09:00,S-21 Cavalier,Vehicle
,16/10/2014 09:00,S-22 Cavelier,Vehicle
,16/10/2014 09:00,S-20 Nomad,Vehicle
,16/10/2014 09:00,S-21 Nomad,Vehicle
,16/10/2014 09:00,S-20 Seeker,Vehicle
,16/10/2014 09:00,S-22 Seeker,Vehicle
,19/09/2014 09:00,Regulus Class 77,Ship
,19/09/2014 09:00,Kestrel Class AX,Ship
,19/09/2014 09:00,Phaeton Class V3.1,Ship
,19/09/2014 09:00,Regulus Class 66C,Ship
,19/09/2014 09:00,Kestrel Class EX0,Ship
,19/09/2014 09:00,LRV1 Javelin,Ship
,19/09/2014 09:00,S-21 Cavalier,Vehicle
,19/09/2014 09:00,S-22 Cavelier,Vehicle
,19/09/2014 09:00,S-20 Nomad,Vehicle
,19/09/2014 09:00,S-21 Nomad,Vehicle
,19/09/2014 09:00,S-20 Seeker,Vehicle
,19/09/2014 09:00,S-21 Seeker,Vehicle
,25/09/2014 09:00,Phaeton Class V2,Ship
,25/09/2014 09:00,Regulus Class 99,Ship
,25/09/2014 09:00,Kestrel Class CX,Ship
,25/09/2014 09:00,Phaeton Class V3.1,Ship
,25/09/2014 09:00,Regulus Class 22A,Ship
,25/09/2014 09:00,AX19 Spindle Demon,Ship
,25/09/2014 09:00,S-20 Cavalier,Vehicle
,25/09/2014 09:00,S-22 Cavelier,Vehicle
,25/09/2014 09:00,S-20 Nomad,Vehicle
,25/09/2014 09:00,S-22 Nomad,Vehicle
,25/09/2014 09:00,S-20 Seeker,Vehicle
,25/09/2014 09:00,S-21 Seeker,Vehicle
,16/10/2014 09:00,Regulus Class 99,Ship
