Manufacturer,Model,Year,Full Name,Division,Unlock Level
Audi,A1 Quattro,2012,Audi A1 Quattro,Hot Hatch,
Honda,Civic Type-R,2015,Honda Civic Type-R,Hot Hatch,
Mini,John Cooper Works GP,2012,Mini John Cooper Works GP,Hot Hatch,
Renault,Clio RS,2013,Renault Clio RS,Hot Hatch,
Renault,Megane RS 275 Trophy-R,2015,Renault Megane RS 275 Trophy-R,Hot Hatch,
Volkswagen,Beetle GSR,2013,Volkswagen Beetle GSR,Hot Hatch,
Volkswagen,Golf GTI,2013,Volkswagen Golf GTI,Hot Hatch,
Audi,RS 5 Coupe,2012,Audi RS 5 Coupe,Sports,
Audi,TT RS Coupe Plus,2013,Audi TT RS Coupe Plus,Sports,
Bentley,Continental GT v8,2013,Bentley Continental GT v8,Sports,
BMW,M135i,2013,BMW M135i,Sports,
BMW,M235i,2014,BMW M235i,Sports,
Lotus,Evora S Sports Racer,2013,Lotus Evora S Sports Racer,Sports,
Mercedes-Benz,A 45 AMG,2013,Mercedes-Benz A 45 AMG,Sports,
Mercedes-Benz,CLA 45 AMG,2014,Mercedes-Benz CLA 45 AMG,Sports,
Nissan,370Z Nismo,2015,Nissan 370Z Nismo,Sports,
Renault,DeZir DRIVECLUB Edition,2014,Renault DeZir DRIVECLUB Edition,Sports,
Alfa Romeo,4C,2013,Alfa Romeo 4C,Performance,
Aston Martin,V12 Zagato,2013,Aston Martin V12 Zagato,Performance,19
Aston Martin,Vanquish,2013,Aston Martin Vanquish,Performance,23
Audi,RS 6 Avant,2013,Audi RS 6 Avant,Performance,27
Bentley,Continental GT Speed,2013,Bentley Continental GT Speed,Performance,
BMW,M3 GTS,2010,BMW M3 GTS,Performance,
BMW,M4 Coupe,2014,BMW M4 Coupe,Performance,
BMW,M5 2011,2011,BMW M5 2011,Performance,21
BMW,M5 2013,2013,BMW M5 2013,Performance,
Caterham,R500 Superlight,2013,Caterham R500 Superlight,Performance,
Chevrolet,Camaro ZL1,2015,Chevrolet Camaro ZL1,Performance,
Chevrolet,Corvette (C6) Z06 Centennial Edition,2012,Chevrolet Corvette (C6) Z06 Centennial Edition,Performance,
Chevrolet,Corvette (C7) Singray,2014,Chevrolet Corvette (C7) Singray,Performance,
Citroen,DS Survolt,2010,Citroen DS Survolt,Performance,
Dodge,Challenger SRT8,2010,Dodge Challenger SRT8,Performance,
Dodge,Charger SRT8,2010,Dodge Charger SRT8,Performance,
Ferrari,California,2008,Ferrari California,Performance,
Ferrari,FF,2012,Ferrari FF,Performance,30
Jaguar,F-Type R Coupe,2014,Jaguar F-Type R Coupe,Performance,
Jaguar,XKR-S Coupe,2012,Jaguar XKR-S Coupe,Performance,
Lotus,Exige S,2012,Lotus Exige S,Performance,25
Maserati,GranTurismo MC Stradale,2012,Maserati GranTurismo MC Stradale,Performance,
Mercedes-Benz,AMG GTS,2015,Mercedes-Benz AMG GTS,Performance,
Mercedes-Benz,C63 AMG Coupe Black Series,2012,Mercedes-Benz C63 AMG Coupe Black Series,Performance,29
Mercedes-Benz,SL 65 AMG 45th Anniversary Edition,2016,Mercedes-Benz SL 65 AMG 45th Anniversary Edition,Performance,34
Nissan,GTR R34 Skyline V-Spec II,1999,Nissan GTR R34 Skyline V-Spec II,Performance,
Nissan,MY15 GTR R35,2015,Nissan MY15 GTR R35,Performance,
Peugeot,EX-1 Concept,2010,Peugeot EX-1 Concept,Performance,
RUF,RGT 8,2011,RUF RGT 8,Performance,32
Spyker,C8 Aileron,2012,Spyker C8 Aileron,Performance,
Volkswagen,GTI Design Vision,2013,Volkswagen GTI Design Vision,Performance,
Ariel,Atom 500 V8,2013,Ariel Atom 500 V8,Super,
Aston Martin,One-77,2010,Aston Martin One-77,Super,
Aston Martin,V12 Vantage S,2013,Aston Martin V12 Vantage S,Super,
Audi,R8 V10 Couple Plus,2013,Audi R8 V10 Couple Plus,Super,
BAC,Mono,2011,BAC Mono,Super,
Caterham,SP/300.R,2014,Caterham SP/300.R,Super,
Chevrolet,Corvette (C6) ZR1 Centennial Edition,2012,Chevrolet Corvette (C6) ZR1 Centennial Edition,Super,
Chevrolet,Corvette (C7) Z06 Supercharged Stingray,2016,Chevrolet Corvette (C7) Z06 Supercharged Stingray,Super,
Ferrari,430 Scuderia,2007,Ferrari 430 Scuderia,Super,
Ferrari,458 Italia,2010,Ferrari 458 Italia,Super,
Ferrari,458 Speciale,2014,Ferrari 458 Speciale,Super,
Ferrari,488 GTB,2016,Ferrari 488 GTB,Super,
