Track,Car,Time of Day,Time Lapse,Cloud Cover,Precipitation,Username,Finish Time
The Kyle,Caterham R500 Superlight,14:00,1,Clear,Dry,LADY_FITCH,02:08.932
The Kyle,Caterham R500 Superlight,14:00,1,Clear,Dry,iMmooddy,02:08.770
The Kyle,Caterham R500 Superlight,14:00,1,Clear,Dry,ajfuzy24,02:09.000
The Kyle,Caterham R500 Superlight,14:00,1,Clear,Dry,stefparrain,02:09.141
The Kyle,Caterham R500 Superlight,14:00,1,Clear,Dry,Oliver18091970,02:09.270
The Kyle,Caterham R500 Superlight,14:00,1,Clear,Dry,Gaezzie,02:09.631
The Kyle,Caterham R500 Superlight,14:00,1,Clear,Dry,ktmarmenia,02:09.634
The Kyle,Caterham R500 Superlight,14:00,1,Clear,Dry,don_Renzi187,02:09.705
The Kyle,Caterham R500 Superlight,14:00,1,Clear,Dry,JIDYA_05,02:10.101
The Kyle,Caterham R500 Superlight,14:00,1,Clear,Dry,Trekkafara67,02:10.399
The Kyle,Caterham R500 Superlight,14:00,1,Clear,Dry,realras1,02:10.476
