Track,Vehicle,Global Position,Player,Time
The Kyle,Ferrari Enzo Ferrari,1,LADY_FITCH,01:45.833
The Kyle,Ferrari Enzo Ferrari,2,RICKY-IKERANDREA,01:46.565
The Kyle,Ferrari Enzo Ferrari,3,HAWKbest,01:46.698
The Kyle,Ferrari Enzo Ferrari,4,Snake2015LT,01:47.366
The Kyle,Ferrari Enzo Ferrari,5,Rippel_LP,01:47.532
The Kyle,Ferrari Enzo Ferrari,6,MAKCOTA,01:47.566
The Kyle,Ferrari Enzo Ferrari,7,AmbrosiaMeat,01:47.573
The Kyle,Ferrari Enzo Ferrari,8,TUSMBOX,01:47.599
The Kyle,Ferrari Enzo Ferrari,9,AbamaXX_,01:47.699
The Kyle,Ferrari Enzo Ferrari,10,sumpa1965,01:47.808
The Kyle,Ferrari Enzo Ferrari,11,Oliver18091970,01:47.935
The Kyle,Ferrari Enzo Ferrari,12,trefpunt32,01:47.974
The Kyle,Ferrari Enzo Ferrari,13,cecil38,01:18.067
The Kyle,Ferrari Enzo Ferrari,14,SusanSlowpoke,01:48.145
The Kyle,Ferrari Enzo Ferrari,15,peppide,01:48.147
The Kyle,Ferrari Enzo Ferrari,16,CreatorOfGodLife,01:48.169
The Kyle,Ferrari Enzo Ferrari,17,xCAHEK-74x,01:48.257
The Kyle,Ferrari Enzo Ferrari,18,luliusValens,01:48.265
The Kyle,Ferrari Enzo Ferrari,19,Stehagsmannen,01:48.265
The Kyle,Ferrari Enzo Ferrari,20,quinebaby,01:48.297
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,1,villand5567,00:42.705
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,2,Jabberwocky-2000,00:42.809
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,3,armada880808,00:43.038
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,4,sh221 -b,00:43.333
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,5,Mich_313_igan,00:43.337
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,6,Harls858,00:43.532
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,7,AlexGirard97310,00:43.558
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,8,Unmeino_Sentaku,00:43.588
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,9,cecil38,00:43.591
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,10,Carl12788,00:43.601
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,11,sniper-vr-47,00:43.604
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,12,Keow666,00:43.629
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,13,BTomiii,00:43.652
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,14,lecoyote156,00:43.697
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,15,Avelar-13-08,00:43.700
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,16,Msfar-x,00:43.736
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,17,WALLAPUR,00:43.739
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,18,tws1999,00:43.744
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,19,joegalsworthy,00:43.755
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,20,bmpdq,00:43.789
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,21,rebyesofy,00:43.800
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,22,cristianrep409,00:43.809
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,23,sanmark96,00:43.821
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,24,STEVE-WHITE-F1,00:43.830
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,25,RCDK13_SP,00:43.853
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,26,MV-FIGHTER,00:43.854
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,27,destructor2050,00:43.866
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,28,Sidskidlid,00:43.881
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,29,mashakam79,00:43.886
Tamil Nadu Circuit 02,Jaguar C-X75 Prototype Edition,30,GabrielFSP,00:43.887
Tamil Nadu Circuit 02,Lamborghini Sesto Elemento,1,Snake2015LT,00:42.438
Tamil Nadu Circuit 02,Lamborghini Sesto Elemento,2,armada880808,00:42.439
Tamil Nadu Circuit 02,Lamborghini Sesto Elemento,3,RCDK13_SP,00:42.451
Tamil Nadu Circuit 02,Lamborghini Sesto Elemento,4,MAMAMEL34,00:42.476
Tamil Nadu Circuit 02,Lamborghini Sesto Elemento,5,hama231,00:42.478
Tamil Nadu Circuit 02,Lamborghini Sesto Elemento,6,Burtonni69,00:42.583
Tamil Nadu Circuit 02,Lamborghini Sesto Elemento,7,a7yjkzdsg,00:42.595
Tamil Nadu Circuit 02,Lamborghini Sesto Elemento,8,Hyrzky,00:42.662
Tamil Nadu Circuit 02,Lamborghini Sesto Elemento,9,Karting_Enzo,00:42.694
Tamil Nadu Circuit 02,Lamborghini Sesto Elemento,10,Mich_313_igan,00:42.720
Tamil Nadu Circuit 02,Lamborghini Sesto Elemento,11,five_roses07,00:42.763
Tamil Nadu Circuit 02,Lamborghini Sesto Elemento,12,Pedrechu_81,00:42.766
Tamil Nadu Circuit 02,Lamborghini Sesto Elemento,13,villand5567,00:42.791
Tamil Nadu Circuit 02,Lamborghini Sesto Elemento,14,crnibtf,00:42.792
Tamil Nadu Circuit 02,Lamborghini Sesto Elemento,15,LordTurboDuke,00:42.807
Tamil Nadu Circuit 02,Lamborghini Sesto Elemento,16,Aventador_KHM,00:42.813
Tamil Nadu Circuit 02,Lamborghini Sesto Elemento,17,Whitecloud-One,00:42.818
Tamil Nadu Circuit 02,Lamborghini Sesto Elemento,18,KANEMALEDETTO,00:42.820
Tamil Nadu Circuit 02,Lamborghini Sesto Elemento,19,redbullmail,00:42.834
Tamil Nadu Circuit 02,Lamborghini Sesto Elemento,20,Resurection-85,00:42.881
Tamil Nadu Circuit 02,W Motors Lykan Hypersport,1,villand5567,00:43.040
Tamil Nadu Circuit 02,W Motors Lykan Hypersport,2,RCDK13_SP,00:43.064
Tamil Nadu Circuit 02,W Motors Lykan Hypersport,3,MEXICANBURRITO28,00:43.435
Tamil Nadu Circuit 02,W Motors Lykan Hypersport,4,Mich_313_igan,00:43.511
Tamil Nadu Circuit 02,W Motors Lykan Hypersport,5,YOLO_SWAG_KING97,00:43.561
Tamil Nadu Circuit 02,W Motors Lykan Hypersport,6,mgberlin,00:43.602
Tamil Nadu Circuit 02,W Motors Lykan Hypersport,7,CSL_GoTp,00:43.623
Tamil Nadu Circuit 02,W Motors Lykan Hypersport,8,FFW-TIM,00:43.627
Tamil Nadu Circuit 02,W Motors Lykan Hypersport,9,TWITCHTWINZ_UK,00:43.643
