Car,Times Driven,Distance Driven (mi), Fame 
Ferrari California,2,6.1,12964
Ferrari FF,6,14.8,114663
Ferrari 430 Scuderia,22,103.2,225853
Ferrari 458 Italia,8,35.8,58359
Ferrari 458 Speciale,4,31.6,276990
Ferrari 488 GTB,46,81.1,725592
Ferrari 599 GTO,1,4.3,6312
Ferrari F12berlinetta,0,0,0
Ferrari F40,3,12,98126
Ferrari F50,1,1.7,16548
Ferrari Enzo Ferrari,75,144,280529
Ferrari 599XX Evoluzione,9,21.4,38111
Ferrari FXX Evoluzione,42,79.4,122283
Ferrari FXX K,18,55.2,166513
Ferrari LaFerrari,2,3.3,6886
