Country,Track,Direction,Type,DLC,Length (miles),Length (km)
Canada,Cayoosh Point,Normal,Point to Point,Original,4.7,7.5
Canada,Cayoosh Point (Reverse),Reverse,Point to Point,Original,4.7,7.5
Canada,Fraser Valley,Normal,Road Circuit,Original,1.6,2.6
Canada,Fraser Valley (Reverse),Reverse,Road Circuit,Original,1.6,2.6
Canada,Lytton,Normal,Point to Point,Original,5.2,8.4
Canada,Lytton (Reverse),Reverse,Point to Point,Original,5.2,8.4
Canada,Maplewood Motorsport Park 01,Normal,Race Track,Original,1.6,2.6
Canada,Maplewood Motorsport Park 01,Normal,Race Track,Original,1.5,2.4
Canada,Maplewood Motorsport Park 02,Normal,Race Track,Original,1.2,1.9
Canada,Oliver's Landing,Normal,Road Circuit,Original,2,3.3
Canada,Oliver's Landing (Reverse),Reverse,Road Circuit,Original,2,3.3
Canada,Port of Vancouver 01,Normal,Urban Circuit,Patch 1.28,1.3,2.1
Canada,Port of Vancouver 01 (Reverse),Reverse,Urban Circuit,Patch 1.28,1.3,2.1
Canada,Port of Vancouver 02,Normal,Urban Circuit,Patch 1.28,1.06,1.7
Canada,Port of Vancouver 02 (Reverse),Reverse,Urban Circuit,Patch 1.28,1.06,1.7
Canada,Port of Vancouver 03,Normal,Urban Circuit,Patch 1.28,1,1.6
Canada,Port of Vancouver 03 (Reverse),Reverse,Urban Circuit,Patch 1.28,1,1.6
Canada,Sinclair Pass,Normal,Road Circuit,Patch 1.08,2.6,4.2
Canada,Sinclair Pass (Reverse),Reverse,Road Circuit,Patch 1.08,2.6,4.2
Chile,Autodromo Frontera 01,Normal,Race Track,Original,1.7,2.7
Chile,Autodromo Frontera 02,Normal,Race Track,Original,1.7,2.7
Chile,Autodromo Frontera 03,Normal,Race Track,Original,1.4,2.3
Chile,Chungara Lake,Normal,Road Circuit,Original,1.6,2.6
Chile,Chungara Lake (Reverse),Reverse,Road Circuit,Original,1.6,2.6
Chile,Iquique 01,Normal,Urban Circuit,Patch 1.28,1.1,1.8
Chile,Iquique 01 (Reverse),Reverse,Urban Circuit,Patch 1.28,1.1,1.8
Chile,Iquique 02,Normal,Urban Circuit,Patch 1.28,0.6,1
Chile,Iquique 02 (Reverse),Reverse,Urban Circuit,Patch 1.28,0.6,1
Chile,Iquique 03,Normal,Urban Circuit,Patch 1.28,1.36,2.2
Chile,Iquique 03 (Reverse),Reverse,Urban Circuit,Patch 1.28,1.36,2.2
Chile,Los Pelambres,Normal,Road Circuit,Patch 1.07,1,1.6
Chile,Los Pelambres (Reverse),Reverse,Road Circuit,Patch 1.07,1,1.6
Chile,Putre,Normal,Point to Point,Original,5.5,8.8
Chile,Putre (Reverse),Reverse,Point to Point,Original,5.5,8.8
Chile,Salar De Surire,Normal,Road Circuit,Original,1.1,1.8
Chile,Salar De Surire (Reverse),Reverse,Road Circuit,Original,1.1,1.8
Chile,Taapaca,Normal,Point to Point,Original,6,9.7
Chile,Taapaca (Reverse),Reverse,Point to Point,Original,6,9.7
India,Ashii 01,Normal,Urban Circuit,Patch 1.28,1.42,2.3
India,Ashii 01 (Reverse),Reverse,Urban Circuit,Patch 1.28,1.42,2.3
India,Ashii 02,Normal,Urban Circuit,Patch 1.28,1,1.6
India,Ashii 02 (Reverse),Reverse,Urban Circuit,Patch 1.28,1,1.6
India,Ashii 03,Normal,Urban Circuit,Patch 1.28,1.36,2.2
India,Ashii 03 (Reverse),Reverse,Urban Circuit,Patch 1.28,1.36,2.2
India,Bandipur,Normal,Road Circuit,"Original, PS+",2.4,3.9
India,Bandipur (Reverse),Reverse,Road Circuit,"Original, PS+",2.4,3.9
