Mode,Level,Game Mode,High Score
Adventure,1. The Beginning,Deadline,574175
Adventure,2. Dead Planet,Deadline,2326010
Adventure,3. Twisted Blister,Evolved,20093710
Adventure,4. Soul Window,Deadline,2937045
Adventure,5. Sapphire,Boss,2222505
Adventure,6. Sausage Smash,Deadline,4974205
Adventure,7. Maze,Checkpoint,1923705
Adventure,8. Titan World,Titan,2216155
Adventure,9. Sweep,Deadline,2849020
Adventure,10. Ruby,Boss,2232150
Adventure,11. Peanut Dreams,Deadline,4524195
Adventure,12. Gate Dash,Pacifism,1764450
Adventure,13. King Hot Dog,King,216855
Adventure,14. Cubism,Rainbow,640000
Adventure,15. Equator,Deadline,1966645
Adventure,16. Pianola Roller,Evolved,968265
Adventure,17. Rock,Evolved,2096865
Adventure,18. Spawn,Evolved,1668395
Adventure,19. Infected,Evolved,618115
Adventure,20. Emerald,Boss,133510
Adventure,21. King Pond,King,0
Adventure,22. Hexawave,Sniper,0
Adventure,23. Out of Time,Checkpoint,0
Adventure,24. Nufo Flow,Pacifism,0
Adventure,25. Intensity,Evolved,0
Adventure,26. The Scream,Claustrophobia,0
Adventure,27. Abstract,Rainbow,0
Adventure,28. Barrel Roll,Deadline,0
Adventure,29. Planet of Peace,Pacifism,0
Adventure,30. Opal,Boss,0
Adventure,31. Repulsive,Evolved,0
Adventure,32. Titans Revenge,Titan,0
Adventure,33. Dome of Doom,Deadline,0
Adventure,34. Infected Planet,Evolved,0
Adventure,35. Endurance,Deadline,0
Adventure,36. Trash Compactor,Claustrophobia,0
Adventure,37. Expressionism,Rainbow,0
Adventure,38. Mind the Gap,Evolved,0
Adventure,39. Hexend,Checkpoint,0
Adventure,40. Amethyst,Boss,0
Adventure,41. Limit Twist,Sniper,0
Adventure,42. Running in the Family,Evolved,0
Adventure,43. Crushed,Deadline,0
Adventure,44. Turbine Cube,Evolved,0
Adventure,45. Deflector,Evolved,0
Adventure,46. Super Rock Crust,Checkpoint,0
Adventure,47. Royal Disease,King,0
Adventure,48. Spawners Revenge,Deadline,0
Adventure,49. Super Sequence,Evolved,0
Adventure,50. Topaz,Boss,0
Ultimate,1. Precision,Deadline,3652415
Ultimate,2. Deathstalker,Scorpion,0
Ultimate,3. Futurism,Rainbow,0
Ultimate,4. Minute Rush,Deadline,0
Ultimate,5. Syndrome,Stock,0
Ultimate,6. Moon King,King,0
Ultimate,7. Tic Tac Toe,Deadline,0
Ultimate,8. Titan Twist,Titan,0
Ultimate,9. Gate Maze,Pacifism,0
Ultimate,10. Nephrite,Boss,0
Ultimate,11. Horizon,Deadline,0
Ultimate,12. Evo Cube,Evolved,0
Ultimate,13. Bullet Squeeze,Claustrophobia,0
Ultimate,14. Open and Close,Evolved,0
Ultimate,15. Bullet Chase,Stock,0
Ultimate,16. Corbraphobia,Titan,0
Ultimate,17. Matador,Pacifism,0
Ultimate,18. Escape,Evolved,0
Ultimate,19. Locked On,Evolved,0
Ultimate,20. Aventurine,Boss,0
Ultimate,21. Sausage Limit,Sniper,0
Ultimate,22. Waltzer,Evolved,0
Ultimate,23. Redclaw,Scorpion,0
Ultimate,24. Love Duck,Evolved,0
Ultimate,25. Pacifism City,Pacifism,0
Ultimate,26. Fenced In,Checkpoint,0
Ultimate,27. Chaos City,Deadline,0
Ultimate,28. Sweep Revenge,Deadline,0
Ultimate,29. Dying Time,Checkpoint,0
Ultimate,30. Purpurite,Boss,0
Ultimate,31. Androctonus,Scorpion,0
Ultimate,32. Ring of Death,Deadline,0
Ultimate,33. Nutshell,Stock,0
Ultimate,34. The Boundary,Deadline,0
Ultimate,35. Time Up,Checkpoint,0
Ultimate,36. Bullet Hell,Evolved,0
Ultimate,37. Squeeze Machine,Claustrophobia,0
Ultimate,38. Mutated,Evolved,0
Ultimate,39. Evo Sphere,Evolved,0
Ultimate,40. Eudialyte,Boss,0
Classic,Deadline Classic,Deadline,1315815
Classic,King Classic,King,2000
Classic,Evolved Classic,Evolved,2089625
Classic,Pacifism Classic,Pacifism,161925
Classic,Waves Classic,Waves,448080
Classic,Retro Evolved Classic,Evolved,106075
Bonus,Symbolic,Bonus,7008165
Bonus,Secret Eye,Bonus,744850
Bonus,The List,Bonus,0
