Manufacturer,Model
Alfa Romeo,4C Gr.4
Alfa Romeo,MiTo '09
Alpine,VGT '17
Alpine,VGT '17
Aston Martin,DB11 '16
Audi,Sport quattro S1 '87
BMW,M4 '14
BMW,M4 Safety Car
Bugatti,Veyron 16.4 '13
Chevrolet,Corvette C7 Gr.3 Road Car
Chevrolet,Camaro SS '16
Chevrolet,Camaro SS '16
Citroen,DS3 '11
Dodge,Charger SRT Hellcat '15
Ford,Focus Gr.B Rally Car
Ford,Mustang Gr.B Rally Car
Ford,Ford GT '06
Gran Turismo,Racing Kart 125 Shifter
Honda,Civic Type R (FK2) '15
Honda,Sport VGT
Honda,NSX Gr.B Rally Car
Hyundai,Genesis Gr.B Rally Car
Hyundai,Genesis Gr.B Rally Car
Hyundai,Genesis Coupé 3.8 '13
Hyundai,Genesis Coupé 3.8 '13
Hyundai,N 2025 VGT
Jaguar,F-type R '14
Lamborghini,Huracán LP 610-4 '15
Lamborghini,Veneno '14
Lexus,RC F FT3 (Emil Frey Racing) '17
Mazda,LM55 VGT (Gr.1)
Mazda,Atenza Sedan XD L package '15
Mazda,Roadster S (ND) '15
Mercedes-Benz,Mercedes-AMG GT Safety Car
Mercedes-Benz,A 45 AMG '13
Mini,Mini Clubman VGT
Mitsubishi,Concept XR-PHEV EVO VGT
Mitsubishi,Lancer Evo.X '15
Peugeot,L750R Hybrid VGT 2017
Peugeot,908 HDi FAP - Team Peugeot Total '10
Peugeot,RCZ Gr.4
Peugeot,208 GTi by Peugeot Sport '14
Peugeot,RCZ GT Line '15
Porsche,Cayman GT4 Clubsport '16
Renault Sport,Megane R.S. Trophy '11
Subaru,VIZIV GT VGT
Subaru,VIZIV GT VGT
Toyota,TS030 Hybrid '12
Toyota,86 GT '15
Volkswagen,Beetle Gr.3
Volkswagen,Volkswagen GTI VGT (Gr.3)
