Track,Car,Tyres,Username,Country,Time
Dragon Trail - Seaside,Dodge SRT Tomahawk X Vision Gran Turismo '15,RSS,Imspartan9002,United States,0:45.922
Dragon Trail - Seaside,Dodge SRT Tomahawk S Vision Gran Turismo '15,RSS,Maranz99,Italy,0:49.564
Dragon Trail - Seaside,Dodge SRT Tomahawk X Vision Gran Turismo '15,RSS,DsC_-Justin-_,Netherlands,0:50.372
Dragon Trail - Seaside,Dodge SRT Tomahawk X Vision Gran Turismo '15,RSS,AlphaYoshi170,United States,0:56.767
Dragon Trail - Seaside,Dodge SRT Tomahawk X Vision Gran Turismo '15,RH,,,1:06.701
Dragon Trail - Seaside,Bugatti Vision Gran Turismo '15,RSS,DsC_-Justin-_,Netherlands,1:15.288
Dragon Trail - Seaside,Bugatti Vision Gran Turismo '15,RSS,TheGoldenBaron,United Arab Emirates,1:15.592
Dragon Trail - Seaside,Bugatti Vision Gran Turismo '15,RSS,Mrpitch78,United Kingdom,1:15.944
Dragon Trail - Seaside,Porsche 919 Hybrid (Porsche Team) '17,RSS,Mrpitch78,United Kingdom,1:19.552
Dragon Trail - Seaside,Bugatti Vision Gran Turismo '15,RH,TRL_LIGHTNING,Germany,1:20.527
Dragon Trail - Seaside,Honda RAYBRIG NSX CONCEPT-GT '16,RSS,blatta101,Italy,1;21.041
Dragon Trail - Seaside,Honda RAYBRIG NSX CONCEPT-GT '16,RSS,ZiltoidRacer,United Kingdom,1:21.690
Dragon Trail - Seaside,Lexus au TOM'S RC F '16,RSS,TheGoldenBaron,United Arab Emirates,1:21.902
Dragon Trail - Seaside,Honda RAYBRIG NSX CONCEPT-GT '16,RSS,ZiltoidRacer,United Kingdom,1:22.940
Dragon Trail - Seaside,Porsche 919 Hybrid (Porsche Team) '17,RH,Blacksmoll777,United States,1:23.326 
Dragon Trail - Seaside,Peugeot L750R HYbrid Vision Gran Turismo 2017 '17,RSS,AntonioTheDad10,Italy,1:24.370
Dragon Trail - Seaside,Mercedes-Benz Sauber Mercedes C9 '89,RSS,Flippro123,United States,1:25.653
Dragon Trail - Seaside,Lexus au TOM'S RC F '16,RSS,Deejaymax,Spain,1:27.000
Dragon Trail - Seaside,Renault Sport R.S.01 GT3 '16,RSS,lorythebest310,United States,1:27.216
Dragon Trail - Seaside,Nissan MOTUL AUTECH GT-R '16,RSS,fixiemonkey,United States,1:27.416
Dragon Trail - Seaside,Peugeot L750R HYbrid Vision Gran Turismo 2017 '17,RSS,AntonioTheDad10,Italy,1:28.754
Dragon Trail - Seaside,Renault Sport R.S.01 GT3 '16,RSS,Jesterhead_,Germany,1:29.238
Dragon Trail - Seaside,Mercedes-Benz Mercedes-AMG GT GT3 '15,RSS,TheGoldenBaron,United Arab Emirates,1:31.351
Dragon Trail - Seaside,Mercedes-Benz Mercedes-AMG GT GT3 '15,RSS,Faerrys,France,1:32.753
Dragon Trail - Seaside,Nissan MOTUL AUTECH GT-R '16,RH,StickersPub,United States,1:32.957
