Track,Country,Circuit Length (km),Circuit Length (mi),Turns,Track Type,Road Type
Alsace - Village,France,5.423,3.37,17,Original Circuit,Tarmac
Autodrome Lago Maggiore - Center,Italy,1.706,1.06,7,Original Circuit,Tarmac
Autodrome Lago Maggiore - East,Italy,3.643,2.264,11,Original Circuit,Tarmac
Autodrome Lago Maggiore - GP,Italy,5.809,3.61,17,Original Circuit,Tarmac
Autodrome Lago Maggiore - West,Italy,4.168,2.59,13,Original Circuit,Tarmac
Autodromo de Interlagos,Brazil,4.309,2.677,15,Real World Circuit,Tarmac
Autodromo Nazionale Monza,Italy,5.793,3.6,11,Real World Circuit,Tarmac
Autodromo Nazionale Monza (No Chicane),Italy,5.8,3.6,10,Real World Circuit,Tarmac
Autopolis International Racing Course,Japan,4.674,2.904,19,Real World Circuit,Tarmac
Autopolis International Racing Course - Shortcut Course,Japan,3.022,1.878,12,Real World Circuit,Tarmac
Blue Moon Bay Speedway,USA,3.22,2,3,Original Circuit,Tarmac
Blue Moon Bay Speedway - Infield A,USA,3.35,2.082,10,Original Circuit,Tarmac
Blue Moon Bay Speedway - Infield B,USA,2.86,1.777,5,Original Circuit,Tarmac
Brands Hatch Grand Prix Circuit,UK,3.946,2.452,9,Real World Circuit,Tarmac
Brands Hatch Indy,UK,1.929,1.199,6,Real World Circuit,Tarmac
Broad Bean Raceway,Japan,1.665,1.035,4,Original Circuit,Tarmac
Circuit de Barcelona-Catalunya GP,Spain,4.654,2.892,16,Real World Circuit,Tarmac
Circuit de la Sarthe,France,13.63,8.47,19,Real World Circuit,Tarmac
Circuit de Sainte-Croix - A,France,9.477,5.889,21,Original Circuit,Tarmac
Circuit de Sainte-Croix - B,France,7.062,4.388,14,Original Circuit,Tarmac
Circuit de Sainte-Croix - C,France,10.825,6.726,24,Original Circuit,Tarmac
Circuit de Spa-Francorchamps,Belgium,7.004,4.352,20,Real World Circuit,Tarmac
Coloardo Springs - Lake,USA,2.99,1.86,15,Original Circuit,Dirt
Dragon Trail - Gardens,Croatia,4.352,2.704,14,Original Circuit,Tarmac
Dragon Trail - Seaside,Croatia,5.209,3.237,17,Original Circuit,Tarmac
Fisherman's Ranch,USA,6.893,4.283,40,Original Circuit,Dirt
Fuji International Speedway,Japan,4.57,2.84,16,Real World Circuit,Tarmac
Fuji International Speedway (Short),Japan,4.52,2.81,15,Real World Circuit,Tarmac
Goodwood Motor Circuit,UK,3.809,2.367,7,Real World Circuit,Tarmac
Kyoto Driving Park - Miyabi,Japan,1.953,1.214,7,Original Circuit,Tarmac
Kyoto Driving Park - Yamagiwa,Japan,4.912,3.052,15,Original Circuit,Tarmac
Kyoto Driving Park - Yamagiwa + Miyabi,Japan,6.846,4.254,20,Original Circuit,Tarmac
Mount Panorama Motor Racing Circuit,Australia,6.213,3.861,22,Real World Circuit,Tarmac
Northern Isle Speedway,USA,0.9,0.559,2,Original Circuit,Tarmac
Northern Isle Speedway - Infield,USA,,,,Original Circuit,Tarmac
Nurburgring 24h,Germany,25.378,15.769,170,Real World Circuit,Tarmac/Concrete
Nurburgring GP/F,Germany,5.148,3.199,15,Real World Circuit,Tarmac
Nurburgring Nordschleife,Germany,20.831,12.944,154,Real World Circuit,Tarmac/Concrete
Red Bull Ring,Austria,4.326,2.688,9,Real World Circuit,Tarmac
Red Bull Ring Short Track,Austria,2.336,1.452,6,Real World Circuit,Tarmac
Sardegna - Road Track - A,Italy,5.113,3.177,15,Original Circuit,Tarmac
Sardegna - Road Track - B,Italy,3.893,2.419,13,Original Circuit,Tarmac
Sardegna - Road Track - C,Italy,2.661,1.653,10,Original Circuit,Tarmac
Sardegna - Windmills,Italy,3.31,2.057,14,Original Circuit,Dirt
Special Stage Route X,USA,30.283,18.817,4,Original Circuit,Tarmac
Suzuka Circuit,Japan,5.808,3.609,17,Real World Circuit,Tarmac
Suzuka Circuit East,Japan,2.24,1.39,6,Real World Circuit,Tarmac
Tokyo Expressway - Central Inner Loop,Japan,4.369,2.715,12,City Circuit,Tarmac
Tokyo Expressway - Central Outer Loop,Japan,4.405,2.737,12,City Circuit,Tarmac
Tokyo Expressway - East Inner Loop,Japan,7.192,4.469,12,City Circuit,Tarmac
Tokyo Expressway - East Outer Loop,Japan,7.301,4.537,12,City Circuit,Tarmac
Tokyo Expressway - South Inner Loop,Japan,6.56,4.076,15,City Circuit,Tarmac
Tokyo Expressway - South Outer Loop,Japan,5.201,3.232,17,City Circuit,Tarmac
Tsukuba Circuit,Japan,2.04,1.27,8,Real World Circuit,Tarmac
WeatherTech Raceway Laguna Seca,USA,3.6,2.24,12,Real World Circuit,Tarmac
Willow Springs International Raceway - Big Willow,USA,3.96,2.46,9,Real World Circuit,Tarmac
Willow Springs International Raceway - Horse Thief Mile,USA,1.61,1,11,Real World Circuit,Tarmac
Willow Springs International Raceway - Streets of Willow,USA,2.67,1.66,14,Real World Circuit,Tarmac
