Category,Type,Name,Description
Two-Handed,Assault Rifles,U-39 Plechovka,
Two-Handed,Assault Rifles,CS Predator,
Two-Handed,Assault Rifles,CS27 Misfortune,
Two-Handed,Assault Rifles,UPM61,
Two-Handed,LMG,Urga Vdova 89,
Two-Handed,Shotguns,U-96 Kladivo,
Two-Handed,Shotguns,Automat U12,
Dual Wield,Pistols,U-55S Pozhar,
Dual Wield,Pistols,CS Spectre Mark V,
Dual Wield,SMG,Prizrak U4,
Dual Wield,SMG,CS Wraith 225R,
Dual Wield,SMG,CS9 PDW-K,
Dual Wield,Exotic,CS44 Peacebringer,
Dual Wield,Exotic,U-24 Zabijak,
Special,Rocket Launchers,UVK-13,
Special,Rocket Launchers,Fire Leech,
Special,Rocket Launchers,Capstone Hydra,
Special,Grenade Launchers,CS Negotiator,
Special,Grenade Launchers,UPU-210,
Special,Sniper Rifles,USV 45 Sokol,
Special,Sniper Rifles,CS110 Archangel,
